node	Australia	Canada	Germany	Ireland	Singapore	UK	USA
Node_134	0.021109446145361723	0.043676156270118414	0.04379060360359143	0.02191930190863991	0.021132090533498824	0.3654947402972632	0.48287766124152653
SRR30795517	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_133	0.009418231524735435	0.021896578154818096	0.02591222857740125	0.011762303875321697	0.009507895923744595	0.481517921692375	0.439984840251604
Node_4	0.0026124201526837327	0.005386490229817152	0.005369898312957548	0.0026972634141432254	0.0026146053307339982	0.4505160103976356	0.5308033121620288
Node_132	0.0001232322415634227	0.0055937073574486825	0.0143771231621892	0.004520333695601209	0.0002996165601267088	0.5851954719166093	0.38989051506646155
Node_2	0.0026123858960984615	0.005386392765400784	0.005369756925583827	0.0026972059697224792	0.002614570159682746	0.4503412615583586	0.5309784267251532
Node_3	3.5570814393769066e-07	7.277399424512465e-07	7.161256597578367e-07	3.625818099783269e-07	3.5581794012425154e-07	0.9999663695774376	3.1112449066204784e-05
Node_5	0.00011899375255750135	0.9933182616316134	0.0002677765384908057	0.0001300687957386476	0.00011938262030114129	0.002836002214842262	0.0032095144464562267
Node_131	0.00012144728557838646	0.005557082468204559	0.014375338767041855	0.004519076968427759	0.0002978536334067715	0.5852340149810622	0.38989518589627836
SRR12051616	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_1	0.0026129142425435885	0.005387452801272107	0.00537076532259169	0.002697727328092673	0.0026150979791192486	0.45024768825199024	0.5310683540743906
ERR5413002	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413751	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR16943774	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SRR16943773	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_7	0.00012289408307256854	0.005559111910964804	0.01437577475381489	0.0045197813464985005	0.0002992699646723538	0.585152053655524	0.3899711142854529
Node_130	0.00012017106826091471	0.005530640272295853	0.014376008578635439	0.00451878359885171	0.00029661745033304526	0.5853328994399553	0.3898248795916678
SRR12051541	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051592	0.0	0.0	0.0	0.0	0.0	0.0	1.0
