node	geo_loc_name_country
Node_134	USA
SRR30795517	USA
Node_133	UK
Node_4	USA
Node_132	UK
Node_2	USA
Node_3	UK
Node_5	Canada
Node_131	UK
SRR12051616	USA
Node_1	USA
ERR5413002	UK
ERR5413751	UK
SRR16943774	Canada
SRR16943773	Canada
Node_7	UK
Node_130	UK
SRR12051541	USA
SRR12051592	USA
SRR30795464	USA
Node_6	UK
Node_26	UK
Node_129	UK
SRR30795514	USA
SRR30795550	USA
Node_21	UK
ERR1413171	Germany
Node_50	UK
Node_128	UK
SRR14719251	Singapore
Node_20	UK
Node_28	UK
Node_49	UK
Node_58	UK
Node_127	UK
ERR5412542	UK
Node_19	UK
SRR12051858	USA
Node_27	Germany
Node_48	UK
SRR30795546	USA
Node_51	UK
Node_57	UK
Node_78	UK
Node_126	UK
Node_18	UK
ERR5413214	UK
ERR5671702	Germany
ERR7253718	Germany
Node_31	UK
Node_47	USA
SRR30795413	USA
SRR19357831	USA
Node_52	Ireland
Node_56	USA
ERR5412644	UK
Node_77	UK
Node_81	USA
Node_125	UK
Node_13	UK
Node_17	UK
ERR5412907	UK
Node_30	UK
Node_32	USA
Node_46	USA
ERR4020095	Ireland
ERR4020091	Ireland
SRR21939535	USA
Node_55	USA
ERR5414023	UK
Node_76	UK
SRR25361418	Australia
Node_80	USA
ERR5412109	UK
Node_114	UK
Node_11	UK
Node_12	UK
Node_14	UK
Node_16	UK
ERR5413997	UK
Node_29	UK
ERR363423	USA
ERR363476	USA
Node_44	USA
SRR32028585	USA
Node_54	USA
SRR21939534	USA
SRR26727983	Canada
Node_75	UK
SRR30795498	USA
Node_79	USA
Node_99	UK
Node_113	UK
Node_10	UK
SRR6045443	UK
ERR5414280	UK
ERR5413491	UK
ERR5412811	UK
ERR5413161	UK
ERR5413081	UK
Node_15	UK
ERR5413294	UK
ERR5413565	UK
SRR25621274	USA
Node_43	UK
SRR21939533	USA
Node_53	USA
Node_70	UK
Node_74	UK
SRR30795534	USA
SRR12051735	USA
Node_97	UK
ERR5413069	UK
ERR5412076	UK
Node_108	UK
Node_9	UK
ERR5413975	UK
ERR5412631	UK
ERR5413687	UK
Node_40	UK
Node_42	UK
SRR21939532	USA
SRR21939531	USA
Node_64	UK
Node_69	UK
ERR5413007	UK
Node_73	UK
ERR5413084	UK
Node_96	UK
Node_107	UK
ERR5414312	UK
Node_8	UK
ERR5414309	UK
Node_39	UK
SRR12051598	USA
ERR5413455	UK
Node_41	UK
Node_62	UK
Node_63	UK
Node_68	UK
ERR5412756	UK
ERR5414003	UK
Node_72	UK
ERR5412356	UK
Node_95	UK
ERR5413872	UK
Node_106	UK
ERR5413589	UK
ERR5412818	UK
ERR5413873	UK
Node_38	UK
ERR5412977	UK
ERR5413682	UK
Node_59	UK
Node_61	UK
ERR330770	UK
ERR363256	UK
Node_67	UK
SRR6045700	UK
Node_71	UK
ERR5412771	UK
ERR5412170	UK
ERR5413845	UK
ERR5413177	UK
ERR5414028	UK
SRR12574872	USA
Node_37	UK
SRR6045886	UK
ERR5412725	UK
ERR5411955	UK
SRR6388731	UK
Node_66	UK
ERR5413522	UK
ERR494887	UK
ERR494888	UK
Node_35	UK
Node_36	UK
ERR5412621	UK
Node_65	UK
ERR5411983	UK
Node_34	UK
ERR5412763	UK
ERR5414094	UK
ERR5412498	UK
ERR5412939	UK
ERR5412847	UK
Node_33	UK
ERR5411944	UK
SRR30795551	USA
