node	Argentina	Canada	Germany	USA
root	0.25166109140767257	0.27199920884784673	0.21594226275046224	0.2603974369940185
n0	1.0860334993752274e-10	2.149836701457017e-10	1.1753922170180278e-10	0.9999999995588738
n1	0.25166522381811446	0.2719970136246393	0.2159441466984267	0.2603936158588195
SRR12574854	0.0	0.0	0.0	1.0
n00	3.1652967611732955e-15	6.296697215199924e-15	3.4334447309842456e-15	0.9999999999999872
n11	0.1856509462840837	0.23993903657287213	0.28973935462582934	0.28467066251721485
n3	0.2516731026602168	0.27199985867535004	0.21593749004637533	0.26038954861805774
SRR12574874	0.0	0.0	0.0	1.0
SRR12574855	0.0	0.0	0.0	1.0
n2	2.1517604439221985e-05	3.866539172859711e-05	0.9998996828970423	4.013410678979311e-05
SRR30795418	0.0	0.0	0.0	1.0
SRR32213595	1.0	0.0	0.0	0.0
n33	0.2516675498921865	0.2720077502206566	0.21593429562335864	0.2603904042637983
ERR7253757	0.0	0.0	1.0	0.0
n22	2.1345146907708237e-05	3.8357053253520035e-05	0.9999004843346999	3.981346513880519e-05
SRR26728061	0.0	1.0	0.0	0.0
SRR26727979	0.0	1.0	0.0	0.0
ERR7253798	0.0	0.0	1.0	0.0
ERR7253805	0.0	0.0	1.0	0.0
