node	Argentina	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Norway	Portugal	Singapore	UK	USA
Node_369	0.005726795779986634	0.00351340586619055	0.0030310556850266786	0.004083863330705655	0.0010957619121832857	0.00034268098578832195	0.0013940704945664057	0.0010279836910022581	0.0077389304272868645	0.00036731449265197356	0.0014609748639940125	0.0003426780156847376	0.0025760460409830475	0.9569326428511218	0.01036579556282769
Node_160	8.320829285525873e-06	6.482273118087384e-06	5.555101838239204e-06	8.330466601028228e-06	2.2301018878750585e-06	6.971530547455451e-07	3.528572400771297e-05	2.0884429142675474e-06	1.1386669164644781e-05	7.309594788366541e-07	2.274841858121756e-06	6.961810055913297e-07	5.157308163403408e-06	0.9998910138371163	1.9750110505721214e-05
Node_368	0.012327545620848755	0.005669118406103426	0.004948931838100518	0.005582533957664874	0.0014855478075662437	0.00046458006640309713	0.0018737910601050378	0.001393661345852547	0.016462933545823524	0.0005190103800485743	0.0029354364576514337	0.0004645765386190315	0.0035972921294816287	0.9254238490728348	0.016851191772896543
Node_155	1.4165719112278493e-07	1.1263412146336612e-07	1.0143281583875054e-07	2.0800611628505757e-07	4.1890525399971444e-08	1.2826458451763233e-08	6.007135347897646e-07	3.557575136382355e-08	1.9385583108198157e-07	1.2450435051072464e-08	3.873267974828467e-08	1.1858429759647894e-08	8.784516555184381e-08	0.9999973520293242	1.0484916199683033e-06
Node_159	1.7007520232510442e-11	1.0928793580016046e-10	9.125008462394966e-11	1.7959406122063612e-10	4.883217614087432e-11	1.527144460247172e-11	0.9999999974986057	4.581178035314177e-11	3.3211106915016996e-11	1.527137072496045e-11	1.5272476588780905e-11	1.5271341507312517e-11	1.0932594960328181e-10	1.490130054590092e-09	3.158571705935593e-10
Node_198	0.03808436048144078	0.014212047438387809	0.008409324625758429	0.01332253837948773	0.003597313204997687	0.0011249993332892432	0.004512210090743276	0.0033748090871567105	0.024275760150783022	0.0011672584273389487	0.0030435628842499724	0.0011249914691220642	0.008264456084516397	0.8430556217323215	0.032430746610406465
Node_367	0.001341729014311201	0.0031210812507101605	0.010443154620740068	0.0027479162900993477	0.0006086061042679201	0.000190331349404262	0.0007690831762995699	0.0005709621314362723	0.02219483550516753	0.0004234435052569134	0.01077183492639928	0.00019033003364242403	0.002525001311415468	0.9176565183890333	0.026445172391816322
Node_137	1.7826080052593814e-07	3.576897526984865e-07	3.16721108433919e-07	7.929198770839488e-07	1.6056246053558317e-07	4.9156892697372026e-08	7.316837466892852e-07	1.3628079817044138e-07	2.658356649278903e-07	4.601466697995596e-08	7.213966408700294e-08	4.5426325737994416e-08	3.2813537386541814e-07	0.999993212003538	3.3071693297293897e-06
Node_154	1.4347543235555164e-11	1.1534532573835987e-11	1.0377965823293722e-11	2.4108895378617885e-11	4.300704564966698e-12	1.3172547944687697e-12	6.082788460645326e-11	3.6581321791952835e-12	1.9647537490981813e-11	1.2792293171750923e-12	3.937020022012415e-12	1.2193628054501864e-12	9.02780211230328e-12	0.9999999997275149	1.0690129403594014e-10
Node_158	2.658618748997646e-16	1.7086528767194994e-15	1.426640841358957e-15	2.807860914318317e-15	7.634661904653389e-16	2.387612559893667e-16	0.9999999999999664	7.162438621690796e-16	5.191837357121814e-16	2.387599125569475e-16	2.3876859962414795e-16	2.3875964953930935e-16	1.7092545958125428e-15	1.7726204005875407e-14	4.938236236530336e-15
