state	colour
Argentina	#cc8e66
Australia	#99ccad
Canada	#7033cc
China	#ccad33
Czech Republic	#66ccb7
Denmark	#c199cc
Germany	#c1cc99
Ireland	#33adcc
Japan	#cc66b7
Netherlands	#8ecc66
Norway	#99adcc
Portugal	#cc3370
Singapore	#33cc33
UK	#6666cc
USA	#cc9999
