parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-288.753070547731
log_likelihood_restricted_MAP	-297.00089610436083
method	MAP
model	F81
num_nodes	651
num_tips	326
scaling_factor	0.12282012326671707
smoothing_factor	0
state_changes_per_avg_branch	0.2700369684491739
Argentina	0.009190854049641524
Australia	0.05907723892331644
Canada	0.049326551942600744
China	0.09708316795713864
Czech Republic	0.0263972246403292
Denmark	0.008255289662789853
Germany	0.03302331908795745
Ireland	0.02476448978391466
Japan	0.01794913588540702
Netherlands	0.008255236701220565
Norway	0.008255239720910773
Portugal	0.008255234305285828
Singapore	0.05909829918219513
UK	0.42032776087442286
USA	0.17074095728286937
