node	Australia	Canada	Germany	Ireland	Japan	Norway	UK	USA
root	0.12861581272381645	0.03288421523713338	0.10128772517996726	0.018150941254760224	0.04454072216218199	0.019307565258459534	0.25923288683756823	0.3959801313461129
n0	0.9999989406176528	9.040371670753816e-08	1.9715776342607942e-07	4.5944937613503094e-08	9.188502651929395e-08	4.57360829861762e-08	3.960028303140821e-07	1.922519895685532e-07
n00	0.0781198729826626	0.01870589697158949	0.08354800076879378	0.011586448252447592	0.035085611971676825	0.013325236673267172	0.24846937555306997	0.5111595568264926
SRR6871406	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6871398	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1	0.062385150135615956	0.012593960012680904	0.0817500158169093	0.0067799411304625455	0.03334661533511668	0.011307854697073974	0.1624920851682445	0.6293443777038962
n2222	0.02944607762503348	0.017320582684272372	0.04734126461060813	0.023283117117493743	0.020479130182059484	0.009453329487429085	0.7315349957570145	0.12114150253608916
n11	0.0477846744580238	0.004328681781604132	0.036306296803086884	0.0010501616962674178	0.031080858675468247	0.008600356907574538	0.07916147228582546	0.7916874973921495
n2121	0.00012468922210574228	0.00010590176112411248	0.998719131285058	5.362325962663106e-05	0.00011208846986740437	5.464619480158502e-05	0.00047416173606583997	0.0003557580713507281
n23	0.029443408387282637	0.017319611288566933	0.04733812542935756	0.023283941167256184	0.020477696674433915	0.00945273084645606	0.7315581350182121	0.12112635118843447
n3333	0.0033895332743772003	0.003214045426756607	0.006902203053903375	0.0017661086651238173	0.0032193103172739115	0.0016146274967910386	0.9744492703133213	0.0054449014524529235
n2	0.04778101504787231	0.004329468577915088	0.036305154275662437	0.001050670772402364	0.03108825776336428	0.008600085032138825	0.07915838491320602	0.7916869636174386
n44	0.04778639457606112	0.00432838028561834	0.036304491349839846	0.0010497411729394528	0.031075826120331784	0.008601082222885132	0.0791589727616436	0.7916951115106807
ERR7253823	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR7253825	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n2323	0.0239794952663445	0.017075696805208124	0.04208932008574816	0.01673750606560797	0.018775588943246574	0.00897994699130606	0.7944020877770558	0.07796035806548288
n25	0.01344152427354683	0.011967401809803754	0.03753514359628909	0.10323843902958603	0.012216788986870583	0.006067224870918925	0.7885206790181591	0.027012798414825696
ERR494842	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n34	1.7226150809097238e-11	1.6716423990743243e-11	3.553303344446808e-11	8.689424820514184e-12	1.6630974336415442e-11	8.370655718354596e-12	0.9999999998718231	2.5010179222841093e-11
DRR317401	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n22	8.958794024948893e-06	0.00026134202066948004	1.227389357047341e-05	2.1646118279020437e-06	7.169761122992616e-06	2.903376159159733e-06	2.4771540638714072e-05	0.9996804160019862
n5	0.004730651858280229	0.0015829216573587641	0.00529936749971271	0.0007177032860614331	0.0034950439580890566	0.0012541344177677007	0.010933951235337778	0.9719862260873924
n7	0.04779859497017831	0.004330160975943126	0.03631105163588275	0.0010499179459215163	0.03107542762971984	0.008605312036434271	0.07917465367993448	0.7916548811259858
n24	4.8959038231765285e-11	4.6248301873743414e-11	9.948727125117726e-11	2.564232394132588e-11	4.637601618210676e-11	2.32460623110755e-11	0.9999999996301683	7.987276374965479e-11
n2424	4.657540682032402e-11	4.277872448283946e-11	9.319370168791173e-11	2.530649487775484e-11	4.325784453617692e-11	2.1588858464628778e-11	0.9999999996428317	8.446733756913184e-11
ERR5413286	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2525	0.004927247931470502	0.004637450738601164	0.03631144670010129	0.23393335019727873	0.0046552922284491495	0.002332159533574585	0.7050463123259268	0.008156740344597823
ERR5413403	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6388764	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR26728048	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n3	6.042176443685064e-06	0.0001762330982123774	8.278682186665836e-06	1.4601427531212487e-06	4.835743271928222e-06	1.958312978833008e-06	1.670815032185999e-05	0.9997844836938314
n55	4.579497663468694e-09	2.789667094233322e-09	6.9874152700324284e-09	1.3632602016930534e-09	3.839353361164268e-09	1.652614568387342e-09	1.3958215147875122e-08	0.9999999648299766
SRR7800558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n77	0.039361035402906704	0.006483152905597741	0.04475796985795968	0.0012827408613298372	0.03170010894586116	0.01372842177273321	0.09907598961416011	0.7636105806394516
n1818	0.9983624101629573	7.159779821948434e-05	0.00017767165961745778	3.505755130205913e-05	9.689324988027654e-05	4.2023293563702204e-05	0.0003544894162129867	0.0008598568682467567
ERR5412853	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412497	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412862	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413635	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n26	0.0076823575623995045	0.007425312285399455	0.08693740335461989	0.13980606747296648	0.007395931673488271	0.003720243900848489	0.7356718526435087	0.011360831106769307
n2828	0.0049269169530022925	0.004637184459695357	0.036303122947333094	0.23398781200278088	0.004655011469113058	0.0023320223898073557	0.7050020524117834	0.008155877366484524
SRR32028574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n33	5.935250110680453e-06	0.00017305317498626576	8.133710309948052e-06	1.434854913490708e-06	4.750542797923449e-06	1.9240194058009816e-06	1.641525659658388e-05	0.9997883531908793
n6	2.6398306089775696e-14	1.6131869496633834e-14	4.035391856878191e-14	7.88554587542097e-15	2.2150259293173746e-14	9.544196442406753e-15	8.059823255496564e-14	0.9999999999997969
SRR7800550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n8	1.811424059590248e-11	0.9999999997924316	3.645882081824857e-11	8.413083626066868e-12	1.7428538004360025e-11	8.717309252424555e-12	7.144707694691939e-11	4.698928127636973e-11
n88	0.039352798044747804	0.006482561214434473	0.04476665993104888	0.0012829061476867356	0.031700785468317366	0.013733774367647788	0.09909656397157286	0.7635839508545442
n19	0.9999999999948646	3.159362850506876e-13	7.213564673947784e-13	1.5731959957701326e-13	3.6576753797215555e-13	1.7057531080400336e-13	1.422761794515147e-12	1.9817806437013036e-12
n1919	0.9999999999947895	3.2149607812244596e-13	7.335894899560091e-13	1.601073952733019e-13	3.717492862137943e-13	1.7346765607495523e-13	1.4467575821224235e-12	2.0033100059327593e-12
n2626	0.00022317865373056318	0.00021821201807962172	0.0010183418520602707	0.0011738275796622072	0.00021662418558284922	0.00010915494889496863	0.9967280380588966	0.00031262270309292847
n28	3.588730477837889e-11	3.519720285321106e-11	0.9999999993818084	6.342247933674659e-11	3.4910007918956014e-11	1.7599027952605408e-11	3.816617910138191e-10	4.9513978001621036e-11
n29	0.0006086202491141973	0.0005953277491505069	0.0015576203970686423	0.0029117310512526383	0.0005909237117240798	0.00029778006986163236	0.9925872115351408	0.000850785236687352
n3131	8.738607816924409e-12	8.495060910566606e-12	2.9219441045886537e-11	0.9999999996019052	8.447299753122554e-12	4.25281222844738e-12	3.2635906150095556e-10	1.2582649872296666e-11
SRR32028613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n4	4.333335064767058e-13	7.28521909372058e-13	8.921730608548116e-13	2.1213420629667338e-13	4.2000745638951583e-13	2.109182804008439e-13	1.74035058569342e-12	0.9999999999953625
SRR7800547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n66	1.3593475682029625e-13	1.334146799922006e-13	2.8217025832706233e-13	6.737321987530701e-14	1.3231842895486616e-13	6.670712349359103e-14	5.501169865296555e-13	0.9999999999986319
SRR26728016	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR26728018	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n9	0.03276574673451291	0.0070499290626661005	0.039171902190342	0.0020049593109504244	0.0371816347966197	0.02873255027507187	0.10279816647762192	0.7502951111522151
n14	0.025563419993679854	0.011389672790529673	0.2488609074948941	0.004903015812060273	0.022068518643168163	0.010167835487355089	0.33943313875128495	0.33761349102702787
ERR459815	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR459817	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n20	0.9999999999967273	3.0490921474819356e-13	6.457293490093226e-13	1.539408191452197e-13	3.0324260065135986e-13	1.526558345683113e-13	1.2591715867934752e-12	4.53026436909048e-13
n21	0.9999999999999992	7.181152221326166e-17	1.5208450262954353e-16	3.6255631202765733e-17	7.14227534195082e-17	3.5954055077419876e-17	2.965658002626897e-16	1.068057038472113e-16
ERR5413168	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
