parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-789.905089102559
log_likelihood_restricted_MAP	-827.2908925006303
method	MAP
model	F81
num_nodes	2295
num_tips	1148
scaling_factor	0.04778495475242019
smoothing_factor	0
state_changes_per_avg_branch	0.13813284247592095
Argentina	0.004100491892902324
Australia	0.04311541158431074
Brazil	0.004241448412730387
Canada	0.03290578967981545
China	0.054484658894965746
Czech Republic	0.012297049790458514
Denmark	0.008199920872142724
Germany	0.03700576585154535
Ireland	0.008199888549609322
Japan	0.12126181183997302
Norway	0.016404567740628654
Portugal	0.004100586843060029
Singapore	0.20027888065006993
Spain	0.016009775800888852
Taiwan	0.01795914505117629
Thailand	0.012418011536197359
UK	0.26650520225178626
USA	0.140511592757739
