state	colour
Argentina	#cc8866
Australia	#99cc99
Brazil	#3365cc
Canada	#cc66aa
China	#cc9933
Czech Republic	#66cc88
Denmark	#9999cc
Germany	#cc3366
Ireland	#cccc99
Japan	#33cc99
Norway	#8766cc
Portugal	#cc9999
Singapore	#aacc66
Spain	#99cccc
Taiwan	#9933cc
Thailand	#66cc33
UK	#66aacc
USA	#cc99cc
