node	Argentina	Australia	Brazil	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Norway	Portugal	Singapore	Spain	Taiwan	Thailand	UK	USA
Node_1386	0.00035161008344720443	0.000488845501947355	0.0005386311600569217	0.00319767661419494	0.004697725920648226	0.0010544507576393287	0.0007032682745667452	0.03660965578040946	0.0070313958081132215	0.010497559012528522	0.0014373945711971354	0.0015037965865726031	0.0019900550736833691	0.001478102254649186	0.023885041257414998	0.0010665176919167574	0.79359182683653295	0.12572469348028123
Node_212	0.0036736901364491817	0.04907226800438964	0.006630470239532487	0.03190913546039816	0.0489799415503478	0.01101710531817518	0.0073473271823406485	0.036303797790967623	0.007346485101752277	0.10928316314636771	0.014895532430472317	0.011113784447373501	0.19874516125319808	0.01502329463773032	0.021569161482825196	0.011136419788268943	0.2835829089476483	0.13237035308176254
Node_1385	0.0024710469989130137	0.053668912368794196	0.0029597745367702147	0.03127974514596061	0.03361799731247062	0.007410474454116168	0.004945693237897964	0.0371521226005993	0.004941839798854043	0.0761066159516247	0.010821432301300567	0.03755156062659375	0.1985412782047093	0.01285366802763613	0.03665809007418486	0.007534966531443133	0.34988940528808454	0.09159537654004687
Node_209	0.0018521021829868373	0.14122043054122324	0.08314989284118018	0.01490548084029713	0.024612446614101634	0.0055543074746043355	0.003703740066850157	0.016770023189694144	0.0037037111837214445	0.05478259310551628	0.007413069117615349	0.0019828403205621684	0.1649860030298796	0.007243207888036538	0.008208004038635919	0.005609135472311264	0.24353828689529203	0.21076472519749176
Node_211	0.0032134108741443085	0.033792670896254165	0.003325131925256063	0.02578818641617458	0.04269777948393081	0.00963676420996757	0.006425989180106935	0.02900151387725636	0.006425963488574855	0.09502889094028616	0.012855769381988175	0.0032167930058401434	0.3732490756190385	0.012546598914121826	0.014076384586872728	0.00973156252898403	0.20887065251587336	0.11011686215532944
SRR14719265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_1384	0.0018401132152281458	0.057715011926037736	0.0021159853270898074	0.030959311208076785	0.02555944247243877	0.005518354351500391	0.0036857453791839983	0.0376098305382866	0.0036803088458427554	0.0587040328248307	0.008684864698782213	0.05145131374091933	0.19188872225218	0.011718165067975173	0.04459610196361895	0.005645606693827452	0.38645712773947677	0.07216996175470428
Node_21	0.0018514499173974226	0.14127321442894744	0.08308055761636637	0.014900210458335278	0.0246037772650124	0.0055523513818605905	0.0037024356913983028	0.016764089912642142	0.003702406825484045	0.05476329443272792	0.00741045669526418	0.001982077573900783	0.16499041449753538	0.007240651116736982	0.008205065921656377	0.005607159975694356	0.2435553831361447	0.21081500315289542
Node_208	6.637569886171121e-07	1.0524183179060485e-05	0.9998252134661455	5.327785465892493e-06	8.819654556562673e-06	1.990554536196622e-06	1.3273423806475666e-06	5.991827986665816e-06	1.3273367326057052e-06	1.962928489603476e-05	2.6555503535650077e-06	6.675779193960072e-07	3.4589637709247425e-05	2.5918906518420687e-06	2.909894870317175e-06	2.010140517150962e-06	4.672613048611362e-05	2.7033984624527474e-05
SRR14719218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_210	0.0016344234597261446	0.017185981600578843	0.0016907489120533208	0.013116107315186915	0.021717160055633254	0.004901506255325332	0.0032684232954088392	0.014750361228119926	0.0032684103713112303	0.04833402597335853	0.006538740152271718	0.0016348327275344829	0.681233289478725	0.0063814032602689	0.007158645937665779	0.004949721191542456	0.10622909162320397	0.05600712716208539
Node_231	0.0014147449466004633	0.01781391866032186	0.0014796607714671125	0.17287247214748597	0.018883156399278036	0.004242707891628013	0.002829582365677076	0.01463689538197722	0.0028291559691584448	0.042165890295846435	0.006417991806545536	0.005214235438034623	0.483315255981052	0.05103604385733363	0.00899440051821367	0.0042900303208046175	0.1123867258735859	0.049177131374989386
Node_1383	0.001839432661398304	0.05772551359928206	0.00211510102127982	0.030940232166501828	0.025550930851984108	0.005516313424973538	0.003684387319005941	0.037613700648002485	0.003678948194765735	0.058685960047999884	0.008682684266476542	0.05147438878962913	0.1918361614869014	0.011711662312271652	0.04461061647611108	0.005643580632215493	0.38653991716830144	0.07215046893289935
SRR17774893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_20	0.0017429515784371118	0.1730605452520392	0.06186656042655991	0.014018447665187435	0.023161363116003857	0.005226973472676303	0.0034854630348441448	0.015770550398986165	0.0034854387345947964	0.051551793017346796	0.006975489013071211	0.0018396266916610366	0.17976292482430395	0.00681393257078897	0.007704866912392337	0.0052785315034965695	0.26947173184924017	0.16878280993836997
Node_26	1.3685875252910061e-12	1.49379604571965e-11	0.9999999996655526	1.098288725463287e-11	1.818491057496695e-11	4.1042853834866584e-12	2.7368203616704552e-12	1.235135966273959e-11	2.7368095093873396e-12	4.0472610519118485e-11	5.475233620006424e-12	1.3692071575818108e-12	6.718069151163776e-11	5.34350520164159e-12	5.994509446471864e-12	4.144658657367367e-12	8.950331460183974e-11	4.756003451522864e-11
Node_207	4.346042791374185e-12	6.591168935982308e-11	0.9999999988670581	3.488337905119023e-11	5.774786408413123e-11	1.3033437449543187e-11	8.690961640995846e-12	3.923097944504172e-11	8.690925011249855e-12	1.2852524198899268e-10	1.73875058378392e-11	4.367843697134395e-12	2.2464606197088594e-10	1.6970476742338242e-11	1.9050579017255226e-11	1.3161674698901538e-11	3.029141659457554e-10	1.73382950855771e-10
SRR14719120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SRR14719113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_220	2.351527806979315e-11	2.551418793532488e-10	2.4367329494353218e-11	0.999999993129586	3.1268365136068453e-10	7.052045303904587e-11	4.7025693012630654e-11	2.1723536451343835e-10	4.7024393200236825e-11	6.96286861427281e-10	9.611068396027514e-11	3.3712965448522097e-11	2.260236890110614e-09	2.1396000582549422e-10	1.1050096329215341e-10	7.122913628505268e-11	1.5831906737512813e-09	8.076717112231628e-10
