node	Australia	Bangladesh	Canada	China	Czech Republic	Germany	Ireland	Portugal	Taiwan	UK	USA
Node_118	0.023311678575953357	0.02331169157430637	0.03994761082423306	0.0725487336964434	0.023311691752500804	0.023311687796984382	0.0478897348932145	0.02331170123101206	0.07477019863186382	0.43742918354612365	0.21085608747736462
Node_25	0.02144987456527188	0.0211572059673513	0.03625561995009532	0.06584372037497026	0.021157206129076858	0.021547382780467132	0.043463726415046554	0.021157214731576526	0.1179870707427983	0.43493276604075115	0.19504821230259478
Node_117	0.02331131649014208	0.023314173559160396	0.03994758419444077	0.07254876532136288	0.023311375748154065	0.02331132571102988	0.047889015751936624	0.023311339437874556	0.07477168391799288	0.43743041997381366	0.2108529998940921
Node_1	4.487747178395702e-09	4.48568508179561e-09	7.686803909380001e-09	1.3959981042473176e-08	4.485685116084161e-09	4.488436726724386e-09	9.215044249230155e-09	4.485686939959379e-09	1.474104244905411e-08	0.9999998913645558	4.059933147875099e-08
Node_24	0.02144968044674966	0.021156810521461407	0.03625494230220944	0.06584248970071971	0.02115681068318394	0.021547255729368973	0.043462914041617055	0.02115681928552282	0.11802028356423361	0.4349048271498484	0.19504716657508483
Node_97	0.023311146762946083	0.023311578669431277	0.039946786962570605	0.07254724928293219	0.02331147279653926	0.02331115598376675	0.047888757109364355	0.02331117140689735	0.07478646147210703	0.43742166931312737	0.2108525502403176
Node_116	0.023267909809392855	0.023697096469359222	0.039962220233684224	0.072587335563192	0.02326792326600848	0.023267919013110774	0.04780102306592112	0.023267932423853877	0.07462983159401157	0.43779061183773077	0.21046019672373517
ERR330907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR369242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_23	0.00848375114419921	0.004365461637812771	0.007480785425613306	0.013585831504942792	0.004365461671182334	0.009855668579946245	0.008968066510959482	0.004365463446174816	0.7193392152021423	0.12792863514996794	0.0912616597270589
Node_57	7.446268706673104e-10	7.446272858636207e-10	1.276015553395976e-09	0.9999999703751434	7.446272915555473e-10	7.446271652075536e-10	1.5297046634559247e-09	7.446275943202818e-10	2.388326471001082e-09	1.397246118597815e-08	6.735212484500449e-09
Node_96	0.023308248597478997	0.023308321426367122	0.0399417456006319	0.07253808356708438	0.02331045192626531	0.02330825781715328	0.047883483734357093	0.023308285176040725	0.07488498613711488	0.43737416096923604	0.21083397504827028
Node_99	0.021887983782315563	0.04432109502178601	0.0375095362848619	0.06812117120655355	0.02188799615962814	0.021887992440198213	0.0449650265264207	0.021888005053815586	0.07020382067584663	0.44934872413559074	0.19797864871298307
Node_115	0.02213069261098303	0.02213641669825354	0.04432814677692746	0.08136679377724634	0.022130705124053886	0.02213070136487016	0.045549601336426555	0.02213071411834648	0.07098228823050545	0.44693995741914017	0.20017398254324695
Node_16	0.001835415656583057	0.0016658720888493954	0.0028546881583512	0.005184390423193419	0.0016658721015833117	0.0018918962255518779	0.0034222386842545885	0.0016658727789252929	0.0343809219422926	0.45080382037258154	0.49462901156783373
Node_21	0.008472951539353912	0.004346340996969091	0.0074480197244758085	0.013526325815436974	0.004346341030192496	0.009847640928714657	0.00892878654630855	0.00434634279741058	0.7207030244296755	0.1272759334969604	0.09075829269450211
SRR28113981	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_56	7.170986473165987e-14	7.170990471634537e-14	1.2288423415007523e-13	0.999999999997147	7.170990526449547e-14	7.170989309679392e-14	1.4731527804994282e-13	7.17099344216734e-14	2.3000320686392454e-13	1.3455911156106064e-12	6.4862173959648e-13
Node_80	0.022889219630564218	0.022889232869293088	0.039223672255502544	0.07123399109191113	0.02315961944088857	0.022889228684489858	0.04712000969463873	0.022890961221486997	0.08894454212622094	0.43063458077658767	0.20812494220841618
Node_95	0.0015274695446142637	0.0015274703963159741	0.0026175188850220176	0.0047536680321236605	0.0015274704080043067	0.0015274701488111693	0.0031379169591245247	0.001527471029059673	0.0048992268360179125	0.028662018207589506	0.948292299553317
Node_98	0.020551447181938468	0.11956122636673959	0.03521793633505484	0.0639592325494341	0.02055145879947707	0.020551455311148534	0.042219330599126914	0.020551467154520595	0.06591699454510044	0.40502988808768037	0.18588956306977916
ERR5413016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_109	0.0039757739090286095	0.003975792463355139	0.4090509659925697	0.23629943745350251	0.003975776156281806	0.003975775481662448	0.013568582198212767	0.00397577777281699	0.012751951942904185	0.27248819626616627	0.03596197036349954
Node_114	0.01668240965499768	0.016682979930282643	0.029216483950165302	0.1179192054743652	0.016682419084856966	0.016682416253793922	0.03427951612735558	0.016682425867516486	0.05350739029931539	0.5307709579620183	0.15089379539533246
Node_6	0.001836682371022345	0.0016674544988850685	0.002857399823442853	0.005189315069863126	0.0016674545116310809	0.0018930577740714559	0.003425489464956589	0.0016674551896164681	0.03433192853957268	0.4509131202994864	0.49455064245745195
Node_15	0.0018343026233952624	0.001665189930848011	0.0028535191920291687	0.005182267467035408	0.001665189943576713	0.0018906396556555604	0.0034208373116541724	0.0016651906206413293	0.03430493818163354	0.450759237406124	0.49475868766740694
Node_20	0.001273194339941404	0.0007453861973415495	0.0012773160467674546	0.0023197297613331046	0.0007453862030392771	0.00812171440881366	0.001531263712457992	0.0007453865061125845	0.9500416404186826	0.019834400395690132	0.013364582009820224
SRR25361456	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR28113988	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_55	3.584822174105488e-14	3.5848241729655854e-14	6.143061754161586e-14	0.9999999999985739	3.584824200367961e-14	3.5848235920967486e-14	7.36438532291353e-14	3.584825657954004e-14	1.1498007968172095e-13	6.726696370953521e-13	3.242501716344425e-13
Node_60	0.02005583014828922	0.020055841334239564	0.0343682886208778	0.06241614372716006	0.020057560138999328	0.02005583808145575	0.041201791969448356	0.020055860567852964	0.06442605443314614	0.5158931969990794	0.18141359397945137
Node_79	0.022024886717033627	0.02202489914061976	0.03774252466839628	0.06854408348492545	0.022892429283975266	0.022024895429068624	0.045561134972500514	0.02203042460535674	0.12046847139637752	0.4139719643759876	0.20271428592575857
Node_81	3.131589068118469e-07	3.131590814260971e-07	5.366387536059542e-07	9.745879972108978e-07	3.1315908382178664e-07	3.1315903068314976e-07	6.433297790127691e-07	3.1315921115002206e-07	1.0044301868691997e-06	5.8762325707596835e-06	0.9999893989853986
Node_94	3.0414997075097987e-07	3.041501403418908e-07	5.212007631357417e-07	9.465511099897911e-07	3.0415014266700427e-07	3.041500910587607e-07	6.248225077223706e-07	3.041502663339607e-07	9.75534801283951e-07	5.707185475628372e-06	0.9999897039547311
SRR30894602	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR5412531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_107	0.0039663686187785836	0.003966387113330559	0.409427169593702	0.23648803959951784	0.003966370860715567	0.003966370187692121	0.013554528579733462	0.003966372473426593	0.012721785285537803	0.2720997082198521	0.03587689946771348
Node_108	0.006988925182247574	0.006988934921751243	0.15582336113159284	0.10183012646576742	0.006988929132628064	0.00698892794674588	0.01628902142241559	0.006988931974315754	0.022416374796986084	0.6054807802138039	0.06321568681174572
Node_110	4.470581141532039e-09	4.470584478860387e-09	7.661872603132121e-09	1.4012352745814095e-08	4.470583668455995e-09	4.470582909888929e-09	9.184033719935791e-09	4.470585486190393e-09	1.4339003468322753e-08	0.9999998920130385	4.043678129930057e-08
Node_112	0.01667417074397249	0.016674739987090775	0.02920121333015537	0.11798033369434287	0.016674180169173984	0.01667417733950966	0.03426257526602921	0.016674186948484448	0.05348096470268411	0.5308841840664925	0.15081927375206453
SRR30933963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_5	1.1648412074681851e-05	1.1512020383423154e-05	1.9727341905316443e-05	3.582676522820481e-05	1.151202047142097e-05	1.169385457025304e-05	2.364940366897507e-05	1.1512025152197329e-05	6.028461421806316e-05	0.9889281718887066	0.010874461653620852
Node_14	0.001399518970410768	0.0013291872355951568	0.002277734939605017	0.004136587449286123	0.0013291872457554563	0.0014229491679935695	0.002730579380445098	0.0013291877862017013	0.016309051866047284	0.39562097679799496	0.5721150391606649
ERR5413584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_17	4.818051592346984e-06	3.238516078654583e-06	5.549617862167687e-06	1.007864400629418e-05	3.2385161034097806e-06	2.53131592858051e-05	6.652956777496111e-06	3.238517420187288e-06	0.9997519081436249	7.82687270911594e-05	0.00010769515015742528
Node_19	0.0015798791945419051	0.0012083248337767763	0.0020706215186105385	0.0037604493996089994	0.0012083248430132042	0.01819451050839349	0.00248228901665104	0.0012083253343169137	0.9259059296929257	0.026789987138320773	0.015591358519840736
SRR28113990	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_54	3.586412634792736e-14	3.586414634539658e-14	6.145787216609878e-14	0.9999999999985733	3.5864146619541905e-14	3.5864140534131096e-14	7.367652644072845e-14	3.5864161201869133e-14	1.1503109233665019e-13	6.729680771744815e-13	3.243940301372556e-13
Node_58	4.440403910429032e-09	4.440406386386046e-09	7.609212984746567e-09	1.3819068401834442e-08	4.440425362885593e-09	4.4404056668491924e-09	9.122034077376885e-09	4.440408346212982e-09	1.4243300546860464e-08	0.9999998928404322	4.0163902076437295e-08
ERR5412503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
