state	colour
Australia	#a6cee3
Bangladesh	#1f78b4
Canada	#b2df8a
China	#33a02c
Czech Republic	#fb9a99
Germany	#e31a1c
Ireland	#fdbf6f
Portugal	#ff7f00
Taiwan	#cab2d6
UK	#6a3d9a
USA	#ffff99
