parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-117.82033566973448
log_likelihood_restricted_MAP	-121.84177626059221
method	MAP
model	F81
num_nodes	241
num_tips	121
scaling_factor	0.044278663428809435
smoothing_factor	0
state_changes_per_avg_branch	0.19332223653262634
Australia	0.1427662939144189
Canada	0.16669654474674134
Denmark	0.02855451773206346
Germany	0.02855885808081337
Japan	0.02855712002653804
Norway	0.05702479230234582
Singapore	0.08571273762620524
Spain	0.02855682931673415
Sweden	0.02854355929643758
Taiwan	0.05715536749583943
UK	0.13651213750573896
USA	0.21136124195612388
