node	Australia	Canada	Denmark	Germany	Japan	Norway	Singapore	Spain	Sweden	Taiwan	UK	USA
Node_125	0.05983272097596699	0.15866667140888022	0.013025289336724805	0.011754089655237625	0.01190237820974386	0.024015141071804927	0.03563890101622125	0.011755170824967775	0.011809274939010763	0.023812348861418392	0.5006818336553686	0.1371061800446549
Node_8	0.0391477644896734	0.47576929153010317	0.00797205159727133	0.007802233397405336	0.007821774696733478	0.015652319391053153	0.023465174664680965	0.00780193654536155	0.007806312835502796	0.015653531405592655	0.09700548193514621	0.2941021275114759
Node_124	0.0028159547062998644	0.006065670427180749	0.0028925263897628907	9.048869478168269e-05	0.0004184652353568175	0.0013807727550486503	0.0010678477419072522	9.470004238242047e-05	0.00022577191492190694	0.0008165138979701543	0.9788433673003675	0.005287920894020053
Node_3	5.4489850173918375e-08	0.9999995750854505	1.0949819433778085e-08	1.088968006681873e-08	1.089625040884017e-08	2.1770393548907732e-08	3.270038982127643e-08	1.0888999501464047e-08	1.088683104500933e-08	2.1807729855789447e-08	7.363012305209467e-08	1.6600448246901039e-07
Node_7	0.039147755068027736	0.4757514401227244	0.007972035249983217	0.007802234448438355	0.00782177371123584	0.015652314038246087	0.023465172875025305	0.0078019375701314266	0.0078063130456875315	0.015653529563688214	0.09699941192806315	0.2941260823787486
SRR26728063	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_123	0.002809134852584518	0.005971346599888189	0.0028914886605888026	8.905822255155019e-05	0.0004170807955809161	0.0013780845797087872	0.001063666058996672	9.327026261770145e-05	0.0002243611669397211	0.0008137400800913321	0.9789735903809895	0.005275178339462306
SRR26728003	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_2	4.625377782729283e-13	0.9999999999963941	9.294716317397071e-14	9.243729105043935e-14	9.249299071233294e-14	1.847982025533279e-13	2.775778082833493e-13	9.2431513119707e-14	9.241307701356301e-14	1.8511525801548897e-13	6.247936669060853e-13	1.4082727029310422e-12
SRR16943818	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_6	0.0026204214823867932	0.010041074425294472	0.0005264149297394865	0.0005237186787744587	0.0005240117205428164	0.0010469221651381924	0.0015726080284633388	0.0005236856531774027	0.0005235721922744663	0.0010487572905400974	0.003472650115034228	0.9775761633186343
Node_14	0.002816079211240005	0.0059791879448912125	0.002892646464349941	9.049428216182813e-05	0.0004184842233025698	0.0013917098359238717	0.0010678970455252849	9.470580169829855e-05	0.00022578302878007014	0.0008165510423899086	0.9788833705596428	0.0053230905600942366
Node_122	0.002802506738527971	0.0058774707721144966	0.0028906236830295554	8.763882432485885e-05	0.0004157263538070329	0.0013645657145418186	0.0010595635569924345	9.18517994368035e-05	0.00022296929571219356	0.0008110250886020957	0.9791603210237866	0.00521573714912408
SRR26727984	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_1	5.259091279257289e-16	0.999999999999997	1.0519015576307426e-16	1.0520170222121895e-16	1.0519581972399435e-16	2.100630051172475e-16	3.157395833028518e-16	1.0519423558929542e-16	1.0514556092779897e-16	2.105431072254112e-16	5.044181105186161e-16	7.8472688816416665e-16
SRR12051731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_5	9.534708712755635e-06	1.8039212646888028e-05	1.9093085219599615e-06	1.90685234261684e-06	1.907057713071298e-06	3.808676308117741e-06	5.723751961722627e-06	1.9067210170214609e-06	1.9059634785360885e-06	3.816841337201825e-06	1.0073639675412068e-05	0.9999394672662847
Node_12	0.00945711831298067	0.013555575754180751	0.0040669990354935855	0.0014502045988997905	0.001756439726597828	0.01499807463741392	0.0050961348399703255	0.0014540408294546993	0.001575822648339016	0.0034957778358852276	0.9207323907767105	0.022361421004073755
Node_13	7.835456852038575e-11	9.201869013749749e-11	1.6130770105315998e-11	1.5580783551803756e-11	1.5644488800544647e-11	3.134958263992224e-11	4.691904440031852e-11	1.5580508153361032e-11	1.5599114298725113e-11	3.130736508986869e-11	2.673458543610428e-10	0.9999999993741693
Node_22	0.0028022548999134217	0.005876511098506418	0.0028936647786280112	8.770928944581281e-05	0.0004157129881178968	0.0013644024839168096	0.0010604807409602868	9.192118156174618e-05	0.00022300513465207491	0.0008118184906211679	0.979157427144466	0.005215091769210288
Node_121	0.003438743742083122	0.000866671502260569	0.00035209469376323876	1.499499915230466e-05	0.00048176537219037194	0.0006929875751658183	0.0002629802299606224	2.0996508216659623e-05	0.00020758576689192964	0.00012499774497688886	0.9913675500704243	0.0021686317949142055
SRR26727953	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR26728075	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12051727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_4	9.499423732287858e-06	1.7961438219698437e-05	1.9022391257970012e-06	1.8997964165017177e-06	1.900000514172469e-06	3.7945811858637334e-06	5.702571116074339e-06	1.899665570255306e-06	1.8989106298725804e-06	3.8027168848432144e-06	1.0034834285665572e-05	0.999939703822319
Node_11	0.001029261339242742	0.001204511550132205	0.00020822194603251475	0.0002054134711898521	0.00020573335806108766	0.00042329073583373205	0.0006173074875202379	0.00020540315346437605	0.0002054405823032846	0.0004117417079423606	0.0019734366320329736	0.9933102380362445
ERR5384768	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR363431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR363484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_19	0.0027124026934227633	0.004810149892569562	0.012632288421377614	0.0002442847960070332	0.00045119699263603447	0.001238034570169328	0.003822333319969422	0.00024692847823464323	0.0003295360163702093	0.0008902965594509958	0.9679341468646216	0.004688401395170772
Node_21	0.002806539720425478	0.00588134337893323	0.0028943688161509103	8.859742184838219e-05	0.00041657956212892884	0.0013660978902031785	0.0010630939954487876	9.280897433215655e-05	0.00022388391818395928	0.0008198865600193727	0.9791254343599154	0.005221365402410191
Node_27	0.009617622972190659	0.008490386402243935	0.0016315470623151826	0.001338454757367674	0.049225797014808344	0.019716263622022754	0.004206709453324883	0.001343582218644587	0.021097017960086558	0.002761318434540243	0.8688752668763279	0.01169603322612724
Node_120	0.0034396664245374027	0.0008617915842645714	0.00034967719937965624	1.4898009964949253e-05	0.0004784552604921839	0.0006882296782646564	0.0002621514735294842	2.0902037621711096e-05	0.00020616303048920002	0.00012429570178472025	0.9913881614991615	0.00216560810050982
SRR12051728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_10	8.543506173010893e-06	9.981226065432636e-06	1.7136858101019364e-06	1.708039814849067e-06	1.7086271181883265e-06	3.4378324263074993e-06	5.127960499818545e-06	1.707927368472461e-06	1.707410053649395e-06	3.419670669967997e-06	1.0226568870662634e-05	0.9999507175451297
SRR7800718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR369139	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
