state	colour
Australia	#a6cee3
Canada	#1f78b4
Denmark	#b2df8a
Germany	#33a02c
Japan	#fb9a99
Norway	#e31a1c
Singapore	#fdbf6f
Spain	#ff7f00
Sweden	#cab2d6
Taiwan	#6a3d9a
UK	#ffff99
USA	#b15928
