node	Czech Republic	Germany	Ireland	UK	USA
Node_58	0.004691097526688688	0.026751364487330904	0.008130489587082066	0.9531072998992838	0.007319748499614625
Node_2	0.0001097964283251189	0.0003559533738092054	0.00011755551477119908	0.9993017969112158	0.00011489777187876514
Node_57	0.0038854386000124284	0.02567422459676428	0.007681116520227955	0.9559620402322454	0.0067971800507499475
ERR1081311	0.0	0.0	0.0	1.0	0.0
Node_1	1.1454531474565329e-07	3.255523775674421e-07	1.1030965991730294e-07	0.9999993392896314	1.1030301636710607e-07
Node_3	2.2297549022616437e-11	6.928876908904087e-11	2.3065941252719375e-11	0.9999999998626403	2.2707312014374607e-11
Node_56	0.0012620132924419513	0.029589000547601874	0.008216211907528425	0.9542871324114003	0.006645641841027416
ERR5412762	0.0	0.0	0.0	1.0	0.0
ERR5412137	0.0	0.0	0.0	1.0	0.0
ERR5412638	0.0	0.0	0.0	1.0	0.0
ERR5413940	0.0	0.0	0.0	1.0	0.0
Node_17	0.010824640379902122	0.03394497336176865	0.01128054523972786	0.9328619891788607	0.011087851839740651
Node_55	0.0012616056428970224	0.029590050601606282	0.008216413990724819	0.9542862192160714	0.006645710548700467
Node_15	0.0003717534439649804	0.0010905437627146892	0.0003671537159485887	0.9978054688520428	0.00036508022532899314
Node_16	2.610875510266488e-11	7.529470002769153e-11	2.5436857534646854e-11	0.9999999998477902	2.5369491126338887e-11
Node_34	0.001261701092012782	0.029605627945616633	0.008221833342407807	0.9542661209820242	0.006644716637938589
Node_54	0.0019293260747193183	0.02100359846542683	0.005134095293136263	0.9601132861267632	0.011819694039954578
Node_14	0.0003714074378069493	0.0010895252862091786	0.00036681105862927226	0.9978075165103166	0.00036473970703793964
ERR3198481	0.0	0.0	0.0	1.0	0.0
ERR340538	0.0	0.0	0.0	1.0	0.0
ERR374168	0.0	0.0	0.0	1.0	0.0
Node_33	0.0014986407753914608	0.07003594497460004	0.022264968964613902	0.9010131663531661	0.005187278932228474
SRR4011161	0.0	0.0	0.0	1.0	0.0
Node_36	0.00540708729594704	0.023290080410324692	0.006879448830549796	0.7756672403685351	0.1887561430946434
Node_53	0.0029429780175525776	0.016211149850493434	0.003304238856225168	0.9702431901571293	0.007298443118599438
Node_7	4.621123282621298e-08	1.3187677866569087e-07	4.464743924659302e-08	0.999999732652319	4.4612230282777837e-08
Node_13	0.0003715375299633403	0.0010898886125447057	0.00036693461382533265	0.9978067756016931	0.0003648636419735514
ERR7253826	0.0	1.0	0.0	0.0	0.0
Node_32	0.001498784729486786	0.07003734202414907	0.0222731974351161	0.9010038245560296	0.005186851255218546
Node_35	0.002490859768476974	0.007543158536506171	0.002496647520387175	0.97432096311817	0.013148371056459636
SRR12051872	0.0	0.0	0.0	0.0	1.0
Node_45	0.002948023558114686	0.01621318654133232	0.0033050400750082717	0.9702347082959906	0.0072990415295542
Node_52	0.0029425099543825854	0.016209934670060853	0.0033036819811977083	0.9702468887999789	0.007296984594380028
Node_6	0.000367593502467519	0.001044718929251994	0.0003539929257458787	0.9978797213073786	0.00035397333515607606
ERR5413771	0.0	0.0	0.0	1.0	0.0
Node_8	1.583399936659319e-11	4.5023927088441526e-11	1.525432812052934e-11	0.9999999999086356	1.525210009749833e-11
Node_12	0.0010653271139926853	0.0030560649672124337	0.0010335448048816895	0.9938132875412967	0.0010317755726164282
Node_25	0.0014993061672264926	0.07003388097678327	0.022272134278016824	0.9010076065258553	0.005187072052118096
Node_31	0.001499646786583742	0.07004678906486124	0.02229557959226206	0.90097063389431	0.00518735066198302
ERR330752	0.0	0.0	0.0	1.0	0.0
ERR5413686	0.0	0.0	0.0	1.0	0.0
Node_38	0.9979054234811282	0.0002567074004502111	8.619791417030078e-05	0.00166404562029436	8.762558395687754e-05
Node_44	0.005378304474708512	0.02210794478169287	0.005585185737715251	0.9578655363098916	0.009063028695991699
Node_46	2.7825984501164502e-08	9.627103491517288e-08	2.7826014609072075e-08	0.9999998115052783	3.6571687632624637e-08
Node_51	0.0036916209691185775	0.027110724754037932	0.003780181459142307	0.9597246471185882	0.005692825699112914
Node_5	0.00013066937656880728	0.00037136876998007353	0.0001258347279289981	0.9992462993575143	0.00012582776800780678
ERR5411968	0.0	0.0	0.0	1.0	0.0
SRR6046061	0.0	0.0	0.0	1.0	0.0
ERR5412884	0.0	0.0	0.0	1.0	0.0
Node_11	1.5058510774317203e-11	4.281971884413243e-11	1.4507469528400952e-11	0.999999999913109	1.450529680336503e-11
ERR5414203	0.0	0.0	0.0	1.0	0.0
Node_20	2.070752015327569e-11	9.143952875610681e-11	3.02609383007179e-11	0.9999999998357971	2.179492002363904e-11
Node_24	2.1964876218891412e-07	7.710514274256794e-07	2.580088381125458e-07	0.9999985314259678	2.1986500438437567e-07
Node_27	0.0035618257334036805	0.09566257922762497	0.08096775938610655	0.8131398922278861	0.006667943424978747
Node_30	2.5810665836430652e-11	8.912011830756674e-11	2.985262085482114e-11	0.9999999998294652	2.57513732740993e-11
Node_37	0.9999999964912025	4.995054016206927e-10	1.6912748013162008e-10	2.6708181637941163e-09	1.6934644830817907e-10
SRR28858256	1.0	0.0	0.0	0.0	0.0
ERR5413122	0.0	0.0	0.0	1.0	0.0
Node_43	2.7705453853811294e-11	7.997954039264865e-11	2.6754102003479578e-11	0.9999999998381766	2.7384413253587527e-11
ERR115091	0.0	0.0	0.0	1.0	0.0
ERR115077	0.0	0.0	0.0	1.0	0.0
ERR7253809	0.0	1.0	0.0	0.0	0.0
Node_50	0.001322826940660098	0.007008722676085264	0.001317902203627916	0.9886587355996785	0.0016918125799481917
ERR5414150	0.0	0.0	0.0	1.0	0.0
Node_4	0.000130642045649012	0.00037129109416464775	0.00012580840822785537	0.9992464570021958	0.00012580144976255027
ERR5412914	0.0	0.0	0.0	1.0	0.0
Node_10	1.1596160207192313e-15	3.2962069114346735e-15	1.1168516516615804e-15	0.9999999999999933	1.116758396402506e-15
ERR5413639	0.0	0.0	0.0	1.0	0.0
Node_19	1.3437773645647075e-15	4.599382522407751e-15	1.5411572867615677e-15	0.9999999999999911	1.338396441623982e-15
ERR485002	0.0	0.0	0.0	1.0	0.0
Node_23	4.954092950624975e-08	1.4079993514749432e-07	4.7708652421677236e-08	0.9999997142450375	4.770544535435176e-08
ERR7253708	0.0	1.0	0.0	0.0	0.0
Node_26	2.312818070333146e-12	1.146531678049594e-11	0.9999999999058613	7.794828378148405e-11	2.412315188084288e-12
Node_28	1.4066268103239462e-15	4.359907241821541e-15	1.4693889873009254e-15	0.9999999999999913	1.3751180756321595e-15
Node_29	1.4066268103239462e-15	4.359907241821541e-15	1.4693889873009254e-15	0.9999999999999913	1.3751180756321595e-15
SRR27279515	1.0	0.0	0.0	0.0	0.0
SRR27279527	1.0	0.0	0.0	0.0	0.0
SRR6046069	0.0	0.0	0.0	1.0	0.0
Node_42	1.6271566421027082e-15	4.656406982290998e-15	1.5688539006592246e-15	0.9999999999999906	1.585054398750238e-15
ERR5412961	0.0	0.0	0.0	1.0	0.0
Node_49	5.8824117469080347e-08	1.964451356359181e-07	5.704413654764596e-08	0.9999996272773092	6.040930109741366e-08
ERR5412426	0.0	0.0	0.0	1.0	0.0
ERR5413251	0.0	0.0	0.0	1.0	0.0
ERR5412943	0.0	0.0	0.0	1.0	0.0
Node_9	8.136384661291965e-16	2.3124003606985783e-15	7.835345735553505e-16	0.9999999999999953	7.83491237567105e-16
Node_18	1.494023754841311e-12	4.24612023170263e-12	1.4387562144335004e-12	0.9999999999913824	1.4386684360726456e-12
ERR5413789	0.0	0.0	0.0	1.0	0.0
ERR5414297	0.0	0.0	0.0	1.0	0.0
