state	colour
Australia	#a6cee3
China	#1f78b4
Germany	#b2df8a
Ireland	#33a02c
Japan	#fb9a99
Norway	#e31a1c
Singapore	#fdbf6f
Spain	#ff7f00
UK	#cab2d6
USA	#6a3d9a
