node	Australia	China	Germany	Ireland	Japan	Norway	Singapore	Spain	UK	USA
Node_43	0.0029804844090147295	0.0016790902918831728	0.830679751197639	0.006963109259916303	0.04018308553593179	0.007702192863671562	0.0024927573861253122	0.009676069362802426	0.094970757115957	0.00267270257705875
ERR494897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_42	0.0029778254272044783	0.001676345345361965	0.8307185433290478	0.006960713344483459	0.04017127327831432	0.007699845803608444	0.0024900661898802873	0.009673852702466153	0.09496151128592357	0.002670023293709679
Node_35	0.002976779408532372	0.001675176185948416	0.8307264421771292	0.006960044166091203	0.04016834820480347	0.007699246574987422	0.002488974022716105	0.009673440252661909	0.09496260084147409	0.002668948165655817
Node_41	0.0029789070171040853	0.0016775478837293633	0.8307116288919217	0.006961424803165138	0.040174420798171	0.007700488557178157	0.002491193106637693	0.009674312002182644	0.09495894346570838	0.002671133474201794
Node_31	0.0029759734499530907	0.0016736446651133801	0.8307501089094957	0.0069598029933058934	0.040153197083073265	0.007699110229076022	0.0024880988990819554	0.00966377933711198	0.09496818586173271	0.0026680985720559393
Node_34	0.0029792338013477073	0.001678905421971028	0.8306494648525191	0.00696205424391491	0.04020578419283238	0.007701174162742186	0.002491482826384154	0.00969561993823057	0.09496484369225772	0.0026714368678003473
ERR1413189	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_40	0.0009491411877000872	0.000947298988839995	0.9840065497624062	0.0009547819153152115	0.004843459278714981	0.0009558166945366715	0.0009484498572151891	0.0009586063273639801	0.004487200163076225	0.0009486958248317052
Node_10	0.002976802907367921	0.001674628692615217	0.8307416559488907	0.006966479895456454	0.04015692534954634	0.00769937909897231	0.0024889862599273066	0.009663815019814092	0.09496236226916921	0.0026689645582404966
Node_30	0.0029761696339763058	0.0016731361634937814	0.8307444134027974	0.006956669614638548	0.04014573919734302	0.007700569249131049	0.002488164640088841	0.009659303275044469	0.09498762237814101	0.002668212445345702
Node_32	0.0029818389206467295	0.0016827684113632434	0.8305943685846372	0.006964317973765308	0.040216827891818394	0.0077033745022012795	0.0024941297518492438	0.009718425303341304	0.09496988031888981	0.0026740683414877707
DRR317607	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_37	2.4160115287579884e-08	2.4127771338278512e-08	0.9999995942286846	2.4259175483852416e-08	1.230084241703996e-07	2.427725264073378e-08	2.414797008961874e-08	2.4326195198983195e-08	1.133121920099246e-07	2.415221915212832e-08
Node_39	2.6432619036048667e-08	2.642508827265329e-08	0.9999995586223177	2.6455751661295015e-08	1.340416814754961e-07	2.6459708800494756e-08	2.6429770864229733e-08	2.6471005104958097e-08	1.222314896633446e-07	2.6430567397751936e-08
ERR7253737	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_9	0.0029782693636305068	0.0016762195587572187	0.8307166892912148	0.006976462061635009	0.04016500821734608	0.007700394344284735	0.0024904993205367818	0.009664642574363533	0.09496135486075191	0.0026704604074793835
Node_20	0.002975973687459803	0.0016732635180191457	0.8307406757724075	0.006955486051532673	0.04014169961777355	0.007699201107431301	0.0024889839309742757	0.009657449141143555	0.09499917427145024	0.002668092901807902
Node_29	0.0029799810732423922	0.0016745318166339327	0.8307016228757461	0.006957397509981073	0.04015402392613272	0.007710673430791743	0.0024894572837118284	0.00965968956905923	0.09500100881711987	0.00267161369758104
SRR31112623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SRR18969482	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_36	3.9348980450482063e-13	3.9296407184451594e-13	0.9999999999933914	3.950999746989585e-13	2.0033875436017465e-12	3.95393799242604e-13	3.9329239039549595e-13	3.9618932921167583e-13	1.845422315693492e-12	3.9336144927685147e-13
ERR4326494	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326491	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_38	6.157760127102135e-09	6.157749708560846e-09	0.9999998973366762	6.1578121545331046e-09	3.119282150861452e-08	6.157743543680407e-09	6.1577501972560635e-09	6.157729995827867e-09	2.8366262001295674e-08	6.157694582923968e-09
Node_6	5.026423373019655e-07	5.017897199681415e-07	3.3629850522561273e-06	5.052620909188004e-07	0.9999907412062653	5.057300913644587e-07	5.023224422698087e-07	5.070139544382511e-07	2.3686123995781756e-06	5.024356464961033e-07
Node_8	0.009196516843365296	0.008663103500880703	0.701441395501706	0.10705962168052588	0.05685958066571068	0.011130968783777976	0.008996683309331125	0.011935628367240832	0.07564616692556463	0.009070334421896701
Node_12	0.002976321201305003	0.0016738195756015718	0.8307512531709726	0.006955196509738622	0.040142229151277846	0.007698792498390567	0.0024894094035352757	0.009656727042990202	0.0949877617520268	0.0026684896941615672
Node_19	0.0029778959685171254	0.0016753661908987083	0.8306560762083433	0.006956857280231741	0.040147965996108724	0.00770046932247606	0.002493631040169876	0.009658446178174015	0.09506323402256649	0.002670057792514026
Node_25	0.00298130890615883	0.0016759942800242819	0.8306699611122965	0.006958315158873917	0.04016315903753018	0.007711513374816531	0.0024908357025585203	0.009660328504079186	0.09501561060810854	0.00267297331555353
Node_28	0.0029869253772460275	0.0016772432882058818	0.8306449150523143	0.00695964601601335	0.040164983497698675	0.007728810244346004	0.002492097334798618	0.009661701205943674	0.09500584955779745	0.0026778284256359975
ERR4326495	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326496	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR7253771	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326490	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRR317617	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
DRR317616	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR7253764	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_7	8.402693132794592e-12	8.35095889083961e-12	1.1031056649032882e-10	0.9999999997534079	4.35609425617873e-11	8.59024380641126e-12	8.383304495947237e-12	8.668249752778466e-12	4.193483805231604e-11	8.390378117114557e-12
DRR317422	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_11	1.824961959746552e-11	1.6317528999433294e-11	0.9999999995182901	2.415180546456529e-11	1.2962618757163857e-10	2.525466522815347e-11	1.752733614812283e-11	2.8158939103978003e-11	2.0463091298358284e-10	1.7792850140894176e-11
Node_17	0.007581039873035594	0.007099114912973602	0.3438153022908917	0.009053243034480582	0.04767552781090878	0.009328294726039042	0.026814816503035323	0.010052698804824352	0.5311128860580251	0.007467075985785913
Node_18	4.18637290541747e-11	4.181093814389854e-11	0.9999999992971952	4.2025131394151765e-11	2.130798306130035e-10	4.2054764206846946e-11	4.184406097429096e-11	4.213392205637389e-11	1.9614141417026516e-10	4.185082489056184e-11
