node	UK	USA
Node_43	0.9167576817090539	0.08324231829094614
Node_2	0.9999999675705279	3.2429472182481863e-08
Node_42	0.9167576817042163	0.08324231829578362
ERR5413280	1.0	0.0
Node_1	0.9999999999612842	3.8715794728854104e-11
Node_4	0.9999457223792456	5.427762075448199e-05
Node_41	0.9167576686523385	0.08324233134766146
ERR5411945	1.0	0.0
ERR5414260	1.0	0.0
Node_3	0.9999999675898804	3.2410119545342766e-08
ERR5412554	1.0	0.0
Node_11	0.9167634980417109	0.08323650195828908
Node_40	0.0017914699516049068	0.9982085300483952
ERR5414310	1.0	0.0
SRR6046813	1.0	0.0
ERR5412210	1.0	0.0
Node_10	0.9999999675318542	3.246814592077172e-08
Node_13	0.9999457223659932	5.427763400679089e-05
Node_39	0.001194839287113721	0.9988051607128862
ERR5412384	1.0	0.0
Node_9	0.9999999998839157	1.1608429506554861e-10
ERR5413910	1.0	0.0
Node_12	0.9999999675898725	3.241012745380125e-08
Node_15	0.0017916750370304704	0.9982083249629696
Node_38	0.0005976143619219219	0.9994023856380782
ERR5413961	1.0	0.0
Node_8	0.9999999351200015	6.48799984197936e-08
ERR5412070	1.0	0.0
ERR5413236	1.0	0.0
ERR5412167	1.0	0.0
Node_14	0.999999967529462	3.247053810320307e-08
SRR29263919	0.0	1.0
Node_37	0.001194634218388345	0.9988053657816117
ERR5412669	1.0	0.0
Node_7	0.9999999351586963	6.484130366026137e-08
ERR5412595	1.0	0.0
ERR5414303	1.0	0.0
Node_17	0.9999457547563732	5.42452436268864e-05
Node_36	0.00179126501160645	0.9982087349883936
ERR5413459	1.0	0.0
Node_6	0.9999456899691954	5.431003080450051e-05
ERR5413904	1.0	0.0
Node_16	0.9998915448744798	0.0001084551255201224
Node_18	0.9999999675898804	3.241011954670314e-08
Node_35	0.9999999351779718	6.482202817819385e-08
ERR5413528	1.0	0.0
Node_5	0.9998914801288167	0.00010851987118327818
SRR29263924	0.0	1.0
ERR5413045	1.0	0.0
ERR5413055	1.0	0.0
ERR5412326	1.0	0.0
ERR5413926	1.0	0.0
Node_34	0.999999935158578	6.484142204277339e-08
ERR5412404	1.0	0.0
ERR5413722	1.0	0.0
Node_21	0.9999999675705161	3.242948373814585e-08
Node_33	0.9999999999418034	5.819653373111638e-11
ERR5412546	1.0	0.0
Node_20	0.9999999999612611	3.8738912593251485e-11
ERR5412962	1.0	0.0
Node_32	0.9999999999224404	7.755967469989792e-11
Node_19	0.9999999999806136	1.9386274827241208e-11
ERR5413800	1.0	0.0
Node_26	0.9999999027889266	9.721107346461583e-08
Node_31	0.9999999999805791	1.942104507901488e-11
ERR5412835	1.0	0.0
ERR5412794	1.0	0.0
Node_24	0.9999998704153226	1.2958467750680538e-07
Node_25	0.9999456681380534	5.4331861946522226e-05
ERR5412509	1.0	0.0
Node_30	0.9999999999806022	1.939789847961134e-11
Node_23	0.9999999028267269	9.717327317601544e-08
ERR5414015	1.0	0.0
ERR5412622	1.0	0.0
ERR5413761	1.0	0.0
Node_27	0.9999999999806254	1.9374732868184157e-11
Node_29	0.9999999999806136	1.9386301849061512e-11
Node_22	0.9999999675956709	3.2404329185004164e-08
ERR5413279	1.0	0.0
ERR5413485	1.0	0.0
ERR5413199	1.0	0.0
ERR5413925	1.0	0.0
Node_28	0.9999999999806254	1.9374725947769646e-11
ERR5412107	1.0	0.0
ERR5413575	1.0	0.0
ERR5412214	1.0	0.0
ERR5413745	1.0	0.0
