node	geo_loc_name_country
Node_43	UK
Node_2	UK
Node_42	UK
ERR5413280	UK
Node_1	UK
Node_4	UK
Node_41	UK
ERR5411945	UK
ERR5414260	UK
Node_3	UK
ERR5412554	UK
Node_11	UK
Node_40	USA
ERR5414310	UK
SRR6046813	UK
ERR5412210	UK
Node_10	UK
Node_13	UK
Node_39	USA
ERR5412384	UK
Node_9	UK
ERR5413910	UK
Node_12	UK
Node_15	USA
Node_38	USA
ERR5413961	UK
Node_8	UK
ERR5412070	UK
ERR5413236	UK
ERR5412167	UK
Node_14	UK
SRR29263919	USA
Node_37	USA
ERR5412669	UK
Node_7	UK
ERR5412595	UK
ERR5414303	UK
Node_17	UK
Node_36	USA
ERR5413459	UK
Node_6	UK
ERR5413904	UK
Node_16	UK
Node_18	UK
Node_35	UK
ERR5413528	UK
Node_5	UK
SRR29263924	USA
ERR5413045	UK
ERR5413055	UK
ERR5412326	UK
ERR5413926	UK
Node_34	UK
ERR5412404	UK
ERR5413722	UK
Node_21	UK
Node_33	UK
ERR5412546	UK
Node_20	UK
ERR5412962	UK
Node_32	UK
Node_19	UK
ERR5413800	UK
Node_26	UK
Node_31	UK
ERR5412835	UK
ERR5412794	UK
Node_24	UK
Node_25	UK
ERR5412509	UK
Node_30	UK
Node_23	UK
ERR5414015	UK
ERR5412622	UK
ERR5413761	UK
Node_27	UK
Node_29	UK
Node_22	UK
ERR5413279	UK
ERR5413485	UK
ERR5413199	UK
ERR5413925	UK
Node_28	UK
ERR5412107	UK
ERR5413575	UK
ERR5412214	UK
ERR5413745	UK
