parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-220.06768336228245
log_likelihood_restricted_MAP	-228.1521325306574
method	MAP
model	F81
num_nodes	501
num_tips	251
scaling_factor	0.050218547562240846
smoothing_factor	0
state_changes_per_avg_branch	0.16622443305976062
Australia	0.046021560812046634
Brazil	0.016004488751970407
Canada	0.03224300018233855
China	0.06754458081528014
Germany	0.0476773998216312
Ireland	0.015926709848896548
Japan	0.13100083272203292
Netherlands	0.03177661650259718
Norway	0.04768306902237331
Singapore	0.059644323802162516
Taiwan	0.042194688585820185
Thailand	0.01833197206618355
UK	0.3401720146124684
USA	0.10377874245419848
