node	Australia	Brazil	Canada	China	Germany	Ireland	Japan	Netherlands	Norway	Singapore	Taiwan	Thailand	UK	USA
Node_279	0.0438042574256998	0.015224393791824808	0.030672090663070056	0.06423432077065469	0.045240204031366665	0.01511255360279707	0.13419477858612752	0.030870640615527977	0.04524556265397108	0.07154901610810985	0.06296069888901448	0.01886062055166107	0.3234102268154304	0.09862063549474452
Node_1	0.04439184416464466	0.015436288415213365	0.03109840169202767	0.06514368104880695	0.04596649847584805	0.015355179426512116	0.12789151356648765	0.030751922665696436	0.04597196089397522	0.07879762178257507	0.053140889072462505	0.017910007485760177	0.3280659037324363	0.10007828757755376
Node_278	0.015879737322542227	0.0053840991420631605	0.010857477530269298	0.022446659893189617	0.014299753413545432	0.004776744601399263	0.1911503618500323	0.020560985570058386	0.014301134745853223	0.1930612452577773	0.33423837776150456	0.028003512410836557	0.11165826241809065	0.0333816480828382
DRR317590	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SRR14719106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Node_2	0.01518264245708495	0.005231898458917902	0.010543964872066136	0.02198452575863855	0.01498153980670407	0.005004568426758715	0.09391980420396008	0.013816990354636047	0.014983210398755551	0.5221651148340684	0.12497609968675033	0.013578690979694608	0.1102372561568268	0.03339369360513791
Node_277	0.01505244099534648	0.00508423333916073	0.010254289608752845	0.02115682310943012	0.013253393211978756	0.004427196632345393	0.20163763080753871	0.020834164163783368	0.0132546220536501	0.16757993089975773	0.36154120921626676	0.029581449365373543	0.10504009618375311	0.03130252041286242
SRR14719295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SRR14719253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Node_136	0.0027074160316460983	0.0009289924543554354	0.0018725260175244086	0.0038956316739371627	0.002610502831968289	0.0008717589471940658	0.026852560616606062	0.03008367590062059	0.002609993488631283	0.015853949833228156	0.8275003144199597	0.058833868892201845	0.019493730708911482	0.0058850781832154725
Node_276	0.012972870816901823	0.003717506357786848	0.007549965905007918	0.01410336314804552	0.0010828881463066059	0.0003617386974820908	0.8525500632223746	0.0009075059895851664	0.001083011537061497	0.020136728243957513	0.006373326841849204	0.0007953980331454986	0.0630509573776124	0.015314675682883323
ERR2524314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_135	0.002702752492673065	0.0009273948961646085	0.0018693056913408237	0.003888937827690077	0.0026060489133119115	0.0008702710445047803	0.026815013572956403	0.030027162125262692	0.002605538854782915	0.015824045953215633	0.8276830300402009	0.0588452488064986	0.019460262359098902	0.00587498742229863
Node_143	0.01852428250011332	0.0035475485688612743	0.0072007830453644575	0.01356357599886128	0.0016948983484067093	0.0005661818600820527	0.8493938362197592	0.0012946136330028678	0.0016950951131211249	0.018800156517326003	0.006308883676983978	0.000988293165266648	0.06122530801355079	0.015196543339300459
Node_275	0.012963369144359322	0.0037179933785675824	0.007550962713114433	0.014105009097114728	0.001081759209815926	0.00036136157692259903	0.8525644817182532	0.0009065119911945525	0.001081882473318449	0.020134160358969182	0.006365286211231711	0.0007944710770790864	0.0630571871226272	0.015315563927431934
Node_18	5.488025816872565e-07	1.906946315831901e-07	3.841896670190773e-07	8.044843472794802e-07	5.661104780766622e-07	1.8910652356059586e-07	1.8025206130589012e-06	7.329019634774353e-07	1.0731980620569152e-06	8.661244689308963e-07	1.0875565162085364e-05	0.9999762979357472	4.238048411902421e-06	1.4303173422003198e-06
Node_134	0.0001839772239048903	6.325622338298932e-05	0.00012749264155556203	0.0002655227793275938	0.00018034213143821077	5.990592531137757e-05	0.00801326435383258	0.0023616906626095784	0.00017935439327491999	0.0009509859906804091	0.9824676053481319	0.0034141004597094925	0.0013303345541758728	0.00040216731266472987
SRR6871404	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_142	0.01154380889396427	0.0026325946467537827	0.005329375306747159	0.010438107197860445	0.003606200913066234	0.001204656291290907	0.8771168060998324	0.0024822688584114298	0.0036066274394351418	0.012474703233247371	0.005487381597842572	0.0015472880641095137	0.04918676339839194	0.013343418059046708
Node_163	0.012969058395383136	0.0037348534708707354	0.007582445544821347	0.014119210613761627	0.0010863583890973662	0.00036289794049699744	0.8523117473910595	0.0009095193585629836	0.001086482201152856	0.020134047688485715	0.006367667330532833	0.0007961212269266309	0.06317356038333538	0.01536603006551278
Node_274	0.006893834960403619	0.0019859624121155097	0.004336968278294261	0.013837100412446743	0.0007121340308719185	0.00023788861974610273	0.8819311772527101	0.0005712379822569644	0.0007122159149356795	0.020330769976243314	0.003446200915650721	0.00047092227352837327	0.05407430923011583	0.010459277740680645
Node_16	5.493671881691589e-07	1.9089162201368675e-07	3.845864792999664e-07	8.053169994070592e-07	5.667053550106224e-07	1.8930525769077116e-07	1.8031461819027858e-06	7.318461913370359e-07	1.0764073004524922e-06	8.662237036829292e-07	1.0833721707954591e-05	0.9999763266589794	4.243215177679431e-06	1.4326078560008874e-06
Node_17	5.483095422403704e-07	1.9052396626341468e-07	3.838457802276876e-07	8.037656659802728e-07	5.656120092591656e-07	1.8894002727821977e-07	1.7999035081936452e-06	7.307741333273103e-07	1.0701392866070756e-06	8.647034458559792e-07	1.0822736706408314e-05	0.9999763690263667	4.23348741547111e-06	1.4282321462890547e-06
Node_74	3.599546641367544e-08	1.2512922272891018e-08	2.5209185279679754e-08	1.995478432945756e-07	1.0470399364684451e-06	1.2431574755156104e-08	1.5300996503978135e-07	3.993600771872101e-08	3.721897555322764e-08	5.145955485683511e-08	0.9999862855815926	3.688602210309822e-08	1.1819476212798654e-05	2.43694740698816e-07
Node_133	0.00018369036326678143	6.315785437314906e-05	0.0001272943590798837	0.0002651103939350263	0.00018006689336973157	5.981387713625644e-05	0.008012038932323409	0.002358453260852002	0.00017907880645296462	0.0009492460176065412	0.9824846621322221	0.003407571342012615	0.0013282709368607017	0.00040154483050883075
DRR317410	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRR317436	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR490668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_162	0.035049406658995766	0.10824705281137953	0.2015613427781078	0.07920811951497432	0.006491252966685782	0.00216841285118916	0.17908629624242825	0.004361582418469543	0.006492023806977896	0.011685110672627518	0.006771196175036787	0.0025677333157094434	0.05683665750645573	0.2994738122809624
Node_164	0.0005501989987571319	0.00018878677802544065	0.000382417160016327	0.0008305697091102385	0.0005301328971246465	0.00017709171661485046	0.006912144484974922	0.0003539283800373884	0.0005301959165837889	0.9835575114628776	0.00048662765725435706	0.0002050582201627464	0.004086169872887079	0.0012091667455734556
Node_273	0.006883086755354834	0.0019828882856857454	0.004331271714232084	0.013837486104176814	0.0007113705934555777	0.00023763359389942604	0.8820137141046775	0.0005705733266314975	0.0007114523912477926	0.02029845741742267	0.0034409829895878387	0.0004703107890878069	0.05406006899942527	0.010450702935115278
Node_3	2.0543378277635172e-10	7.144177948768126e-11	1.4392820396377733e-10	3.0150945768964076e-10	2.1282505844176682e-10	7.109454282541066e-11	5.847848018625489e-10	1.4186915967719264e-10	2.128833369063429e-10	2.6625386202405364e-10	1.8901948794216095e-10	0.9999999956171984	1.5184918977811382e-09	4.632662656821849e-10
Node_15	5.0806860085912675e-05	1.766860904308669e-05	3.559557547420192e-05	7.456771759142388e-05	5.263458445997873e-05	1.758266469579633e-05	0.00014465062553818271	3.5122545224703785e-05	0.00045173869752540465	6.586440514431449e-05	4.78072868689313e-05	0.9982146570949627	0.000523148225476052	0.0002681551079092392
SRR14066540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SRR14043016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
