node	Australia	Canada	China	Germany	Japan	Singapore	Spain	Taiwan	UK	USA
root	0.021386416609563988	0.009601400876663215	0.02009577147415933	0.01162927973188147	0.07591160386266216	0.24898003473951302	0.007995944872164469	0.01173638704952331	0.48537951863807205	0.10728364214579689
n0	0.021389022370490715	0.009603141788487904	0.020099162675111252	0.011630180283577285	0.07590961302009613	0.24895648964527534	0.007997256123797898	0.011738761134362277	0.48539444624361466	0.1072819267151866
n18	0.015421382738900659	0.005728158282054138	0.01261125060220802	0.009472118468298128	0.07975055490511881	0.30031897207544916	0.004936778661797987	0.006736405058363537	0.45469677202212533	0.11032760718568428
n00	0.034497848564725535	0.019262286865613532	0.039678393656975765	0.015428194607105893	0.06494421468565653	0.1356750334635215	0.013753311223077843	0.02794323897152933	0.5508320726419023	0.0979854053198918
ERR5413696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n1818	0.00208277778740233	0.0010615511385487172	0.4199288081695881	0.0010209598376891302	0.003067628962036639	0.002284210165379638	0.023700016005229738	0.001019343767675552	0.5412154768940484	0.004619227272401646
n2626	0.01067115149819193	0.002736421899154429	0.005930579734299523	0.0076766575046053	0.08241486549804515	0.3401602168745754	0.002390724131703531	0.00314640619251726	0.43258316903195554	0.11228980763495176
n1	2.49630549901807e-10	1.2738816245073705e-10	2.4430950621701246e-10	1.2222658001224353e-10	3.637280102967298e-10	2.543015351256375e-10	1.222177681791181e-10	1.2227517766846615e-10	0.9999999978455368	5.483858185627935e-10
n22	0.03495617066126955	0.019722834380541947	0.040681001083593675	0.015457770190430624	0.06399169575474709	0.1300738753188642	0.013874393272737843	0.02902113637336882	0.5552375315262538	0.0969835914381926
n19	0.002082134758133887	0.001061224830681552	0.4193197485635146	0.0010206433458153598	0.003066643571128212	0.002283314630225772	0.0237258022481573	0.0010190296038259852	0.5418037084205101	0.004617750028007283
SRR18969469	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n27	2.2624358328794865e-10	1.1251088164052703e-10	2.1650766297262005e-10	1.134386516930685e-10	4.0208827790175835e-10	5.870984123759615e-10	1.0770660198459941e-10	1.0852526932690095e-10	0.9999999975326315	5.932490626961162e-10
n29	0.010668156159671803	0.002734393797752367	0.005926099993906322	0.007675666539367977	0.0824200919440774	0.34020264662489574	0.00238898125873833	0.0031440099624496596	0.432544276642036	0.11229567707710444
