state	colour
Australia	#a6cee3
Canada	#1f78b4
China	#b2df8a
Germany	#33a02c
Japan	#fb9a99
Singapore	#e31a1c
Spain	#fdbf6f
Taiwan	#ff7f00
UK	#cab2d6
USA	#6a3d9a
