parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-220.5000807700847
log_likelihood_restricted_MAP	-226.4993736861417
method	MAP
model	F81
num_nodes	415
num_tips	208
scaling_factor	0.17818652980428804
smoothing_factor	0
state_changes_per_avg_branch	0.3096866965952666
Australia	0.0879838867668658
Canada	0.044838648651352876
China	0.10420645274923025
Czech Republic	0.01466302563098173
Denmark	0.014663106300474035
Germany	0.07429856332968991
Ireland	0.014708787992925897
Japan	0.03821902973114661
Netherlands	0.04465885339888835
Singapore	0.12341004928736819
South Korea	0.02932916564098905
Spain	0.0300736595000685
Taiwan	0.07060370772617489
UK	0.1875895134936306
USA	0.12075354980021331
