state	colour
Australia	#cc8e66
Canada	#99ccad
China	#7033cc
Czech Republic	#ccad33
Denmark	#66ccb7
Germany	#c199cc
Ireland	#c1cc99
Japan	#33adcc
Netherlands	#cc66b7
Singapore	#8ecc66
South Korea	#99adcc
Spain	#cc3370
Taiwan	#33cc33
UK	#6666cc
USA	#cc9999
