node	Canada	China	Czech Republic	Denmark	Germany	Ireland	Singapore	Switzerland	Taiwan	UK	USA
Node_242	0.043008621528745225	0.0840520277143799	0.028847975656322813	0.014426276780444832	0.06673246696810935	0.014227940763541773	0.025597026892054973	0.014588036838131762	0.014242203113977277	0.6106237297086166	0.0836536940356756
Node_2	0.07265650147286044	0.06704473424208188	0.048735497329196756	0.024052531332382714	0.06167841903759021	0.024036534677289237	0.027884880102374457	0.02593489056018523	0.023989378306583004	0.4827321055385583	0.14125452740089783
Node_241	0.03134624262223344	0.09047629748699403	0.021024964947339006	0.01063853516282563	0.06853949590959126	0.010369604995426369	0.024642612105435613	0.010573243825977532	0.010407774540846612	0.6609858034963412	0.06099542490698935
Node_1	1.0974179679790158e-10	7.267333403799757e-11	7.36115208329743e-11	3.620792131883488e-11	7.36827687732313e-11	3.630547980697305e-11	3.625911483445429e-11	3.6233042433573224e-11	3.6207072292478295e-11	0.9999999992757493	2.133285592592081e-10
SRR20982497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Node_8	0.03894771628944199	0.2208307696564484	0.026124451634105348	0.013680970064783164	0.15910987937198065	0.012884683855628007	0.01920086628391282	0.012952622500084577	0.013035332056926365	0.40749465964958537	0.07573804863710341
Node_240	0.01934538422919751	0.04407881108165435	0.012974709174804727	0.0065149017824500145	0.03425699212956992	0.006399193376065974	0.02608070150115034	0.006485649908085746	0.00641151734327318	0.7997622578035368	0.03768988167021129
ERR337777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR363367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_4	0.009997694210701713	0.006671110382413872	0.006706154976264471	0.5686371525350951	0.0067470330985106965	0.0033075009340985547	0.0033009145796135545	0.0032985523927157767	0.12956248659066455	0.24233675774447744	0.019434642555444387
Node_7	0.03145619794828599	0.3364377551300823	0.021099622504215845	0.010793095122238253	0.23630165629863029	0.010406416288590193	0.013548440719983021	0.01042952821030956	0.010470814213267577	0.25789486427318364	0.0611616092912133
Node_9	0.019347526824363224	0.044078000203140254	0.012976146477274037	0.006515599281706357	0.03425691404581463	0.006399902257796315	0.026084990508199544	0.0064863494854206834	0.006412222187786455	0.799748308023097	0.037694040705401465
Node_239	0.014933705186048356	0.029922862209244065	0.010015156712787817	0.005011265769386875	0.023630442328096905	0.004939534624377145	0.017530613112136956	0.0049925485131303475	0.004945114200105207	0.8549474204767477	0.029131336867938683
ERR369140	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_3	0.009998890054442156	0.006671883756907813	0.006706957112630133	0.5685165791819038	0.006747823374709062	0.0033078965507795277	0.003301308608767444	0.0032989469260810136	0.1296050100639001	0.24240773720227948	0.01943696716759956
ERR1413187	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR32604953	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR3198427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR14719221	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Node_117	9.501981710989837e-08	9.739579374478479e-08	6.373312804042522e-08	3.1495255212822855e-08	8.720569767643639e-08	3.143345643016344e-08	5.3137863781273394e-08	3.146289293473587e-08	3.138089314143042e-08	0.999999292849562	1.8488563998726954e-07
Node_238	2.1078572729525322e-05	0.00019829069504128998	4.707349559124319e-06	2.323553920432148e-06	6.117703086864754e-06	2.4271498626899916e-06	3.5260941947258313e-06	2.3217556280875226e-06	2.3171994649227376e-06	0.9992190685507097	0.0005378213758026674
DRR317546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ERR5412274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_116	3.0604745653870984e-09	3.1356241599589643e-09	2.052767894600567e-09	1.0144186864604655e-09	2.8078555567536804e-09	1.0124340678983122e-09	1.7106416916858177e-09	1.0133776211702015e-09	1.0107397625862765e-09	0.9999999772267277	5.954938175223296e-09
ERR5412171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_123	0.0006138488020638382	0.0004105304860156185	0.0004114725373863161	0.00020238865139454802	0.0004109418035074691	0.0002029429268119386	0.0002024243976924068	0.00020238855239258018	0.0002023884299635159	0.9959327115552365	0.0012079618575353873
Node_237	2.031624815543581e-05	0.0001976008297038029	4.1943073011575015e-06	2.070314078611916e-06	5.462499709425933e-06	2.1741344697040454e-06	3.1415995629734806e-06	2.0687120660829937e-06	2.064653198751519e-06	0.9992244777856283	0.0005364289161257496
Node_115	7.113379745971942e-14	7.197835096581298e-14	4.771202560278266e-14	2.3574077884636844e-14	6.464964937350637e-14	2.3531777901790768e-14	3.919341894527754e-14	2.3550722032213634e-14	2.3491543326464702e-14	0.9999999999994728	1.3840448198525922e-13
ERR5413579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
