node	Germany	Japan	Taiwan
Node_7	0.25223555981385287	0.4061481718987351	0.341616268287412
Node_1	0.014780114336809673	0.024350308734452614	0.9608695769287378
Node_6	0.3693295404288593	0.5641128233106691	0.06655763626047156
DRR317500	0.0	0.0	1.0
DRR317581	0.0	0.0	1.0
Node_4	0.14480149535750927	0.8181853279276179	0.03701317671487279
ERR7253664	1.0	0.0	0.0
DRR317413	0.0	1.0	0.0
Node_2	0.0020554945843016805	0.996584757288438	0.0013597481272603228
DRR317463	0.0	1.0	0.0
DRR317450	0.0	1.0	0.0
