Type,time,mean,median,upper,lower,rate,year
eDCC8,215327.593,1122628.864,1024313.978,2293063.54,485928.364,0.000133638,1991.224034
eDCC8,218916.387,1122317.756,1024306.678,2293063.54,485858.228,0.000133638,1990.744435
eDCC8,222505.18,1120847.592,1023920.262,2293063.54,479117.738,0.000133638,1990.264835
eDCC8,226093.973,1119203.194,1022638.534,2293063.54,477965.148,0.000133638,1989.785236
eDCC8,229682.766,1118254.964,1022638.534,2283554.94,477398.47,0.000133638,1989.305637
eDCC8,233271.559,1118011.852,1021438.606,2283554.94,477398.47,0.000133638,1988.826037
eDCC8,236860.353,1118289.414,1022237.21,2293063.54,477324.192,0.000133638,1988.346438
eDCC8,240449.146,1117862.522,1021353.546,2293063.54,477324.192,0.000133638,1987.866838
eDCC8,244037.939,1116098.052,1021353.546,2281926.04,477324.192,0.000133638,1987.387239
eDCC8,247626.732,1116603.512,1021300.994,2293063.54,477014.32,0.000133638,1986.907639
eDCC8,251215.526,1116898.23,1018762.978,2293063.54,477014.32,0.000133638,1986.42804
eDCC8,254804.319,1116551.132,1018762.978,2293063.54,477014.32,0.000133638,1985.94844
eDCC8,258393.112,1115862.062,1018388.442,2293063.54,476761.528,0.000133638,1985.468841
eDCC8,261981.905,1114899.612,1016912.568,2293063.54,472514.972,0.000133638,1984.989242
eDCC8,265570.698,1114110.21,1016502.92,2293063.54,467263.81,0.000133638,1984.509642
eDCC8,269159.492,1113648.216,1014647.284,2293063.54,467263.81,0.000133638,1984.030043
eDCC8,272748.285,1112849.24,1014443.61,2293063.54,466477.442,0.000133638,1983.550443
eDCC8,276337.078,1112202.1,1014382.008,2293063.54,464810.182,0.000133638,1983.070844
eDCC8,279925.871,1111516.176,1013029.562,2286568.16,464810.182,0.000133638,1982.591245
eDCC8,283514.664,1111051.304,1011756.386,2286568.16,464298.488,0.000133638,1982.111645
eDCC8,287103.458,1110479.234,1011412.122,2286568.16,463873.036,0.000133638,1981.632046
eDCC8,290692.251,1109702.286,1011165.338,2283554.94,461648.112,0.000133638,1981.152446
eDCC8,294281.044,1109052.858,1010970.672,2283554.94,457551.462,0.000133638,1980.672847
eDCC8,297869.837,1108295.294,1009606.652,2283554.94,457551.462,0.000133638,1980.193247
eDCC8,301458.631,1107678.872,1008650.962,2283554.94,457551.462,0.000133638,1979.713648
eDCC8,305047.424,1107212.534,1009490.542,2281926.04,456866.634,0.000133638,1979.234048
eDCC8,308636.217,1106570.488,1008650.962,2281926.04,456866.634,0.000133638,1978.754449
eDCC8,312225.01,1106268.048,1007009.018,2283554.94,451984.304,0.000133638,1978.27485
eDCC8,315813.803,1105782.282,1004857.954,2283554.94,447386.294,0.000133638,1977.79525
eDCC8,319402.597,1105895.502,1004857.954,2286568.16,447386.294,0.000133638,1977.315651
eDCC8,322991.39,1105421.956,1004857.954,2286568.16,442192.39,0.000133638,1976.836051
eDCC8,326580.183,1104780.834,1004726.712,2283554.94,442192.39,0.000133638,1976.356452
eDCC8,330168.976,1103584.344,1004726.712,2281926.04,436583.51,0.000133638,1975.876853
eDCC8,333757.77,1102801.998,1004726.712,2281926.04,429194.834,0.000133638,1975.397253
eDCC8,337346.563,1102720.576,1004726.712,2281926.04,429194.834,0.000133638,1974.917654
eDCC8,340935.356,1102486.376,1004726.712,2281926.04,429194.834,0.000133638,1974.438054
eDCC8,344524.149,1102090.606,1004434.792,2281926.04,429194.834,0.000133638,1973.958455
eDCC8,348112.942,1102507.004,1004434.792,2283554.94,429194.834,0.000133638,1973.478855
eDCC8,351701.736,1102447.318,1003603.702,2283554.94,425666.962,0.000133638,1972.999256
eDCC8,355290.529,1101216.424,1002594.974,2283554.94,415848.71,0.000133638,1972.519656
eDCC9,0,3.47E+07,2.10E+07,1.50E+08,5811855.7,0.000127427,2020
eDCC9,3157.32425,3.47E+07,2.10E+07,1.50E+08,5811855.7,0.000127427,2019.597672
eDCC9,6314.6485,3.47E+07,2.10E+07,1.50E+08,5811855.7,0.000127427,2019.195345
eDCC9,9471.97275,3.47E+07,2.10E+07,1.50E+08,5811855.7,0.000127427,2018.793017
eDCC9,12629.297,3.47E+07,2.10E+07,1.50E+08,5811855.7,0.000127427,2018.39069
eDCC9,15786.6212,3.47E+07,2.10E+07,1.50E+08,5791398.34,0.000127427,2017.988362
eDCC9,18943.9455,3.48E+07,2.10E+07,1.50E+08,5791398.34,0.000127427,2017.586035
eDCC9,22101.2697,3.48E+07,2.10E+07,1.50E+08,5791398.34,0.000127427,2017.183707
eDCC9,25258.594,3.46E+07,2.09E+07,1.50E+08,5521047.56,0.000127427,2016.78138
eDCC9,28415.9182,3.39E+07,2.06E+07,1.48E+08,5216967.86,0.000127427,2016.379052
eDCC9,31573.2425,3.32E+07,2.01E+07,1.47E+08,4537674.11,0.000127427,2015.976725
eDCC9,34730.5667,3.24E+07,1.97E+07,1.47E+08,3676870.03,0.000127427,2015.574397
eDCC9,37887.891,3.16E+07,1.91E+07,1.46E+08,2524557.07,0.000127427,2015.17207
eDCC9,41045.2152,2.98E+07,1.81E+07,1.42E+08,1499515.84,0.000127427,2014.769742
eDCC9,44202.5395,2.82E+07,1.71E+07,1.37E+08,1026976.82,0.000127427,2014.367415
eDCC9,47359.8637,2.63E+07,1.58E+07,1.31E+08,788915.392,0.000127427,2013.965087
eDCC9,50517.188,2.45E+07,1.40E+07,1.29E+08,653056.384,0.000127427,2013.56276
eDCC9,53674.5122,2.25E+07,1.17E+07,1.26E+08,577025.208,0.000127427,2013.160432
eDCC9,56831.8365,2.05E+07,9417520.69,1.16E+08,532803.726,0.000127427,2012.758105
eDCC9,59989.1607,1.87E+07,5531474.66,1.13E+08,518627.119,0.000127427,2012.355777
