Type,time,mean,median,upper,lower,year,rate
DCC1,126564.7985,931894.1207,251579.5682,9230130.399,89085.42043,1940.3142,0.000629605
DCC1,128785.2335,843831.0718,251735.1011,8389704.857,87583.6399,1938.9162,0.000629605
DCC1,131005.6686,762154.8927,252717.5345,7524174.204,92633.32433,1937.5182,0.000629605
DCC1,133226.1037,658869.49,252170.8679,6285123.089,90464.48497,1936.1202,0.000629605
DCC1,135446.5387,598074.8304,252312.6743,5123721.328,89390.91549,1934.7222,0.000629605
DCC1,137666.9738,552655.9862,253463.9851,4022471.318,91493.93677,1933.3242,0.000629605
DCC1,139887.4088,485086.945,253947.3678,2142069.425,100374.2454,1931.9262,0.000629605
DCC1,142107.8439,418313.2275,255071.8972,901244.9747,100483.2824,1930.5282,0.000629605
DCC1,144328.279,371022.2575,255855.8344,788911.3748,100483.2824,1929.1302,0.000629605
DCC1,146548.714,329550.3323,256161.7299,735460.7527,101943.9042,1927.7322,0.000629605
DCC1,148769.1491,310966.1303,257193.5044,709709.3035,99493.58838,1926.3342,0.000629605
DCC1,150989.5841,297034.1433,259365.6211,677740.0136,92976.95268,1924.9362,0.000629605
DCC1,153210.0192,292965.8382,261643.5558,677740.0136,95166.54782,1923.5382,0.000629605
DCC1,155430.4543,294010.2645,264223.3272,678722.8639,91197.73624,1922.1402,0.000629605
DCC1,157650.8893,295323.5867,266288.7094,678722.8639,81176.48863,1920.7423,0.000629605
DCC1,159871.3244,296348.0767,267427.6245,683509.1189,73788.06641,1919.3443,0.000629605
DCC1,162091.7595,297005.2229,268855.6665,686717.4919,65937.47754,1917.9463,0.000629605
DCC1,164312.1945,297588.173,269317.6206,686717.4919,64796.79575,1916.5483,0.000629605
DCC1,166532.6296,298140.031,270346.1553,702950.1076,56475.15507,1915.1503,0.000629605
DCC1,168753.0646,298555.5284,270651.4235,709709.3035,55050.92314,1913.7523,0.000629605
DCC1,170973.4997,299244.514,271610.0934,716351.2767,52840.18362,1912.3543,0.000629605
DCC1,173193.9348,298778.6824,270971.3753,717762.6477,50492.40647,1910.9563,0.000629605
DCC1,175414.3698,297845.3434,270612.9061,720255.7279,45634.59473,1909.5583,0.000629605
DCC1,177634.8049,297916.3558,270651.4235,726964.6039,44148.36957,1908.1603,0.000629605
DCC1,179855.2399,297365.5475,270031.0502,728576.5541,41948.95221,1906.7623,0.000629605
DCC1,182075.675,296463.5781,269823.8534,729276.7993,40563.55248,1905.3643,0.000629605
DCC1,184296.1101,294728.2011,267727.9017,730678.7879,39782.53987,1903.9663,0.000629605
DCC1,186516.5451,293815.5558,266393.104,735460.7527,38414.45154,1902.5683,0.000629605
DCC1,188736.9802,293200.2437,266292.0506,735460.7527,37871.27221,1901.1703,0.000629605
DCC1,190957.4152,291951.694,266073.5501,736460.8138,37516.80908,1899.7723,0.000629605
DCC1,193177.8503,291157.8903,263564.653,742299.3809,35697.64676,1898.3743,0.000629605
DCC1,195398.2854,289554.9919,261757.9924,744572.9793,34890.87666,1896.9763,0.000629605
DCC1,197618.7204,288535.9105,260000.0757,747046.2738,34201.99306,1895.5783,0.000629605
DCC1,199839.1555,287200.962,258798.0117,747046.2738,32871.15854,1894.1803,0.000629605
DCC1,202059.5906,285622.2237,257160.6866,744572.9793,32834.17137,1892.7823,0.000629605
DCC1,204280.0256,283977.0867,256091.4806,744572.9793,32337.61303,1891.3843,0.000629605
DCC1,206500.4607,283151.8013,255409.3169,747046.2738,32337.61303,1889.9863,0.000629605
DCC1,208720.8957,281712.588,252957.6986,747046.2738,31434.65159,1888.5883,0.000629605
DCC1,210941.3308,279956.8216,251142.9023,744572.9793,30560.9107,1887.1903,0.000629605
DCC1,213161.7659,279036.5288,250759.3872,744572.9793,30173.41355,1885.7923,0.000629605
DCC1,215382.2009,277674.2204,248608.6579,743562.8052,30150.18185,1884.3943,0.000629605
DCC1,217602.636,276978.2034,247275.9164,743562.8052,29872.19197,1882.9963,0.000629605
DCC1,219823.071,NaN,NaN,NaN,NaN,1881.5984,0.000629605
DCC2,0,8.74E+07,4.91E+07,3.50E+08,1.29E+07,2020,0.000406373
DCC2,2575.8312,8.74E+07,4.91E+07,3.50E+08,1.29E+07,2018.9533,0.000406373
DCC2,5151.66239,8.74E+07,4.91E+07,3.50E+08,1.29E+07,2017.9065,0.000406373
DCC2,7727.49359,8.74E+07,4.91E+07,3.50E+08,1.29E+07,2016.8598,0.000406373
DCC2,10303.3248,8.74E+07,4.91E+07,3.50E+08,1.29E+07,2015.813,0.000406373
DCC2,12879.156,8.74E+07,4.91E+07,3.50E+08,1.29E+07,2014.7663,0.000406373
DCC2,15454.9872,8.74E+07,4.91E+07,3.50E+08,1.29E+07,2013.7195,0.000406373
DCC2,18030.8184,8.74E+07,4.91E+07,3.50E+08,1.29E+07,2012.6728,0.000406373
DCC2,20606.6496,8.73E+07,4.91E+07,3.50E+08,1.24E+07,2011.626,0.000406373
DCC2,23182.4808,8.68E+07,4.86E+07,3.50E+08,1.07E+07,2010.5793,0.000406373
DCC2,25758.312,8.54E+07,4.78E+07,3.47E+08,8587904.58,2009.5325,0.000406373
DCC2,28334.1432,8.30E+07,4.59E+07,3.45E+08,3206522.99,2008.4858,0.000406373
DCC2,30909.9744,7.80E+07,4.24E+07,3.40E+08,1410886.32,2007.439,0.000406373
DCC2,33485.8056,7.15E+07,3.81E+07,3.20E+08,572771.486,2006.3923,0.000406373
DCC2,36061.6367,6.46E+07,3.21E+07,3.08E+08,393038.658,2005.3455,0.000406373
DCC2,38637.4679,5.89E+07,2.44E+07,2.96E+08,286999.074,2004.2988,0.000406373
DCC2,41213.2991,5.29E+07,1.21E+07,2.91E+08,291823.201,2003.252,0.000406373
DCC2,43789.1303,4.93E+07,5251926.6,2.87E+08,268515.729,2002.2053,0.000406373
DCC2,46364.9615,4.42E+07,2088945.43,2.57E+08,238538.749,2001.1585,0.000406373
DCC2,48940.7927,3.99E+07,1303752.84,2.41E+08,254682.228,2000.1118,0.000406373
DCC2,51516.6239,3.65E+07,980983.504,2.28E+08,254587.21,1999.0651,0.000406373
DCC2,54092.4551,3.32E+07,881865.26,2.19E+08,268724.136,1998.0183,0.000406373
DCC2,56668.2863,2.96E+07,840921.88,1.96E+08,276818.152,1996.9716,0.000406373
DCC2,59244.1175,2.71E+07,790099.511,1.88E+08,281931.891,1995.9248,0.000406373
DCC2,61819.9487,2.19E+07,781487.256,1.65E+08,290038.758,1994.8781,0.000406373
DCC2,64395.7799,1.97E+07,776340.724,1.53E+08,290325.71,1993.8313,0.000406373
DCC2,66971.6111,1.61E+07,764776.038,1.30E+08,285432.395,1992.7846,0.000406373
DCC2,69547.4423,1.27E+07,760674.348,1.05E+08,285055.951,1991.7378,0.000406373
DCC2,72123.2735,7969418.67,754227.774,7.15E+07,279885.314,1990.6911,0.000406373
DCC2,74699.1047,5879326.22,755027.019,5.23E+07,278268.209,1989.6443,0.000406373
DCC2,77274.9359,4342751.28,751013.424,3.06E+07,261331.211,1988.5976,0.000406373
DCC2,79850.7671,3439559.82,746019.942,1.57E+07,257210.372,1987.5508,0.000406373
DCC2,82426.5983,2289418,742007.835,7019405.62,240330.94,1986.5041,0.000406373
DCC2,85002.4295,1711641.69,728710.725,4920165.67,209337.987,1985.4573,0.000406373
DCC2,87578.2607,1158383.92,715539.275,3641281.55,186880.163,1984.4106,0.000406373
DCC2,90154.0919,968695.023,702865.384,2674322.46,175342.574,1983.3638,0.000406373
DCC2,92729.9231,904426.97,692808.607,2487204.39,151119.182,1982.3171,0.000406373
DCC2,95305.7543,868145.374,676595.851,2260141.12,147945.184,1981.2703,0.000406373
DCC2,97881.5855,831827.248,671721.48,2204674.27,138848.839,1980.2236,0.000406373
DCC2,100457.417,786723.882,658212.455,2144824.68,137994.286,1979.1768,0.000406373
DCC2,103033.248,764027.487,647079.066,2118501.93,137156.944,1978.1301,0.000406373
DCC2,105609.079,759385.501,641285.182,2129528.49,135332.46,1977.0834,0.000406373
DCC2,108184.91,747286.203,618383.709,2118122.85,128807.776,1976.0366,0.000406373
DCC2,110760.741,740559.798,601011.42,2133692.5,118261.71,1974.9899,0.000406373
DCC2,113336.573,729943.024,591176.678,2140915.39,116904.352,1973.9431,0.000406373
DCC2,115912.404,722171.496,581861.016,2129528.49,115513.806,1972.8964,0.000406373
DCC2,118488.235,712950.173,566853.757,2144824.68,109400.861,1971.8496,0.000406373
DCC2,121064.066,707843.135,558591.032,2215169.47,102360.887,1970.8029,0.000406373
DCC2,123639.897,697850.632,541595.239,2196778.84,100189.303,1969.7561,0.000406373
DCC2,126215.729,671317.282,526937.922,2129528.49,84100.691,1968.7094,0.000406373
DCC2,128791.56,643138.523,506704.896,2215169.47,72140.621,1967.6626,0.000406373
DCC2,131367.391,614959.764,488683.346,2232911.22,62975.0044,1966.6159,0.000406373
DCC2,133943.222,586781.005,476231.188,2261759.18,54000.3375,1965.5691,0.000406373
DCC2,136519.053,558602.246,465256.418,2260141.12,48021.304,1964.5224,0.000406373
DCC2,139094.885,530423.487,449072.56,2261759.18,44713.2106,1963.4756,0.000406373
DCC2,141670.716,502244.728,433222.587,2232911.22,41803.5766,1962.4289,0.000406373
DCC2,144246.547,474065.969,417075.429,2259823.54,39590.3001,1961.3821,0.000406373
DCC2,146822.378,445887.21,402713.268,2158947.69,38556.7098,1960.3354,0.000406373
DCC2,149398.209,437708.451,387666.851,2158947.69,38408.5671,1959.2886,0.000406373
DCC2,151974.041,429529.692,375297.475,2129462.06,38289.8648,1958.2419,0.000406373
DCC2,154549.872,421350.933,358991.562,2073989.69,37053.7162,1957.1952,0.000406373
DCC2,157125.703,413172.174,340444.773,2043304.93,36838.4538,1956.1484,0.000406373
DCC2,159701.534,404993.415,322173.274,2027838.33,36838.4538,1955.1017,0.000406373
DCC2,162277.365,396814.656,313712.347,2025605.57,36335.5992,1954.0549,0.000406373
DCC2,164853.197,388635.897,303742.488,1962267.97,36335.5992,1953.0082,0.000406373
DCC2,167429.028,380457.138,289761.017,1961360.38,36841.6352,1951.9614,0.000406373
DCC2,170004.859,372278.379,274200.571,1900177.64,37053.7162,1950.9147,0.000406373
DCC2,172580.69,364099.62,259941.237,1812116.72,36939.5411,1949.8679,0.000406373
DCC2,175156.521,360920.861,253750.883,1767255.77,36852.2141,1948.8212,0.000406373
DCC2,177732.353,357742.102,240871.415,1744011.86,36852.2141,1947.7744,0.000406373
DCC2,180308.184,354563.343,235235.552,1684947.86,36852.2141,1946.7277,0.000406373
DCC2,182884.015,351384.584,225269.254,1585927.46,36646.7103,1945.6809,0.000406373
DCC2,185459.846,348205.825,216473.711,1547095.18,36646.7103,1944.6342,0.000406373
DCC2,188035.677,345027.066,209585.826,1547095.18,36335.5992,1943.5874,0.000406373
DCC2,190611.509,341848.307,202818.729,1514566.85,35968.9598,1942.5407,0.000406373
