Type,time,mean,median,upper,lower,year,rate
DCC4,0,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2020,0.000115945
DCC4,1764.45171,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2019.7954,0.000115945
DCC4,3528.90342,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2019.5908,0.000115945
DCC4,5293.35513,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2019.3863,0.000115945
DCC4,7057.80684,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2019.1817,0.000115945
DCC4,8822.25855,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2018.9771,0.000115945
DCC4,10586.7103,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2018.7725,0.000115945
DCC4,12351.162,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2018.5679,0.000115945
DCC4,14115.6137,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2018.3634,0.000115945
DCC4,15880.0654,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2018.1588,0.000115945
DCC4,17644.5171,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2017.9542,0.000115945
DCC4,19408.9688,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2017.7496,0.000115945
DCC4,21173.4205,6.51E+07,4.29E+07,2.47E+08,1.33E+07,2017.545,0.000115945
DCC4,22937.8722,6.50E+07,4.29E+07,2.47E+08,1.34E+07,2017.3405,0.000115945
DCC4,24702.3239,6.50E+07,4.29E+07,2.47E+08,1.35E+07,2017.1359,0.000115945
DCC4,26466.7756,6.49E+07,4.27E+07,2.47E+08,1.35E+07,2016.9313,0.000115945
DCC4,28231.2273,6.46E+07,4.26E+07,2.46E+08,1.33E+07,2016.7267,0.000115945
DCC4,29995.6791,6.44E+07,4.25E+07,2.45E+08,1.32E+07,2016.5221,0.000115945
DCC4,31760.1308,6.39E+07,4.25E+07,2.41E+08,1.31E+07,2016.3176,0.000115945
DCC4,33524.5825,6.36E+07,4.24E+07,2.33E+08,1.30E+07,2016.113,0.000115945
DCC4,35289.0342,6.31E+07,4.22E+07,2.32E+08,1.28E+07,2015.9084,0.000115945
DCC4,37053.4859,6.28E+07,4.20E+07,2.25E+08,1.25E+07,2015.7038,0.000115945
DCC4,38817.9376,6.22E+07,4.16E+07,2.21E+08,1.23E+07,2015.4992,0.000115945
DCC4,40582.3893,6.17E+07,4.14E+07,2.20E+08,1.20E+07,2015.2947,0.000115945
DCC4,42346.841,5.99E+07,4.12E+07,2.10E+08,1.19E+07,2015.0901,0.000115945
DCC4,44111.2927,5.95E+07,4.12E+07,2.09E+08,1.19E+07,2014.8855,0.000115945
DCC4,45875.7444,5.86E+07,4.11E+07,2.07E+08,1.18E+07,2014.6809,0.000115945
DCC4,47640.1962,5.84E+07,4.09E+07,2.07E+08,1.16E+07,2014.4764,0.000115945
DCC4,49404.6479,5.82E+07,4.08E+07,2.06E+08,1.11E+07,2014.2718,0.000115945
DCC4,51169.0996,5.76E+07,4.04E+07,2.06E+08,1.05E+07,2014.0672,0.000115945
DCC4,52933.5513,5.74E+07,4.01E+07,2.06E+08,1.01E+07,2013.8626,0.000115945
DCC4,54698.003,5.70E+07,4.00E+07,2.06E+08,9281203.51,2013.658,0.000115945
DCC4,56462.4547,5.66E+07,3.96E+07,2.06E+08,6751449.47,2013.4535,0.000115945
