node	Australia	Taiwan	UK	USA
Node_14	0.1689006507943133	0.20104878507687654	0.3992425558381345	0.23080800829067563
Node_8	3.5589411443623307e-07	3.560751258592937e-07	0.9999989317880467	3.5624271304189617e-07
Node_12	0.13949996765152506	0.22044283571357265	0.34468633654601377	0.2953708600888884
ERR5413882	0.0	0.0	1.0	0.0
Node_7	5.813760436987235e-08	5.816717126112485e-08	0.999999825500679	5.819454540130981e-08
Node_9	2.23388055768783e-11	2.2731207452733818e-11	0.9999999999318355	2.309445167109938e-11
Node_11	0.1013687056814963	0.2598017625904861	0.23236784477599773	0.4064616869520198
ERR5412469	0.0	0.0	1.0	0.0
Node_6	4.159470189722884e-13	4.161584728569497e-13	0.9999999999987516	4.1635424483022984e-13
ERR494876	0.0	0.0	1.0	0.0
ERR494879	0.0	0.0	1.0	0.0
DRR317570	0.0	1.0	0.0	0.0
Node_10	0.10136837274099647	0.2597969698127186	0.23236654589881664	0.4064681115474682
ERR5412804	0.0	0.0	1.0	0.0
Node_5	1.6266659291984352e-16	1.62668085126957e-16	0.9999999999999994	1.6266947864977543e-16
SRR25361430	1.0	0.0	0.0	0.0
SRR7800736	0.0	0.0	0.0	1.0
ERR5412975	0.0	0.0	1.0	0.0
Node_4	1.5969299491186848e-16	1.5969297487227111e-16	0.9999999999999994	1.5969296830019291e-16
ERR5414263	0.0	0.0	1.0	0.0
Node_3	1.5969297364535156e-16	1.596929535949389e-16	0.9999999999999994	1.5969294701284706e-16
ERR5412565	0.0	0.0	1.0	0.0
Node_2	1.5969297363703006e-16	1.5969295358661741e-16	0.9999999999999994	1.5969294700452556e-16
ERR5414101	0.0	0.0	1.0	0.0
Node_1	1.5969183155626788e-16	1.596918115059986e-16	0.9999999999999994	1.5969180492395384e-16
ERR5414339	0.0	0.0	1.0	0.0
ERR5412849	0.0	0.0	1.0	0.0
