state	colour
Australia	#cc9566
Canada	#ccc466
China	#a4cc66
Denmark	#75cc66
Germany	#66cc85
Netherlands	#66ccb4
Norway	#66b4cc
Singapore	#6685cc
Spain	#7566cc
Taiwan	#a466cc
Thailand	#cc66c4
UK	#cc6695
USA	#cc6666
