node	Australia	Canada	China	Denmark	Germany	Netherlands	Norway	Singapore	Spain	Taiwan	Thailand	UK	USA
root	0.06190244228446446	0.008307199996807405	0.20955293219245888	0.008722320981285416	0.28378198276468375	0.008308406402699118	0.019680908075481583	0.008310308745714366	0.019416159730646327	0.008403831000017193	0.04829960891922361	0.15225779473868362	0.16305610416783442
n0	0.022510187625697526	0.0013657465093081078	0.33321580279212254	0.0020520840659020477	0.45198455645279983	0.0013679039279397148	0.00792903017052381	0.001371136249845028	0.020176808491180837	0.001529677196977521	0.0052440611109037475	0.13138241781753668	0.019870587589262603
n3434	0.08756709693320766	0.009326776775968586	0.10794093424230713	0.009529399074377057	0.14586309120214525	0.009327273639134888	0.020096092080985128	0.009328165165249909	0.014560403557326181	0.009372149680866733	0.10480516674837194	0.15871322405529653	0.31357022684476293
n00	0.02248829350695206	0.0013645532805821499	0.3332083367495494	0.002050978684795981	0.4520405059913864	0.001366710992220503	0.007927323084038417	0.0013699437374845485	0.020178072133136885	0.0015285054104755907	0.005238972946188878	0.131385860138652	0.01985194334453711
n34	0.06020796802021825	0.0037882938400861065	0.35697468390242637	0.004343174092723353	0.3691433677045095	0.0037900088898271895	0.011750904166423543	0.0037926031809955795	0.018899843948967477	0.003919926716844841	0.006902898458843565	0.12114019577169269	0.035346131306441556
n35	0.08756497132314792	0.009327475672221414	0.10793317497215925	0.009530080375450637	0.1458525209264204	0.009327972476326867	0.02009734902652843	0.009328863914381202	0.014560593696924584	0.009372844131826498	0.10482235449775003	0.15872373089455707	0.3135580680923058
n38	0.17273656935668913	0.0010424096230214667	0.004506303292145393	0.0010492591255392145	0.006048949280528446	0.0010422542250027266	0.0021269994430170936	0.0010422800141224242	0.0011975451919446348	0.0010435744792038342	0.003851039668095254	0.009128244040584864	0.7951845722601056
SRR29408758	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1	0.008825975259692647	0.0006994508368120325	0.11834382572311952	0.0016915237533437109	0.651552861935772	0.0007025850798349654	0.00892487931422798	0.0007072662495582469	0.02793586996901269	0.0009368345675199394	0.002071147095879007	0.16899935880343153	0.008608421411795743
SRR25361493	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
