parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-1239.178996008065
log_likelihood_restricted_MAP	-1342.5262642687449
method	MAP
model	F81
num_nodes	5255
num_tips	2628
scaling_factor	0.029467450983112542
smoothing_factor	0
state_changes_per_avg_branch	0.0840421724000283
Australia	0.09279514679347045
Bangladesh	0.0034937601292101337
Canada	0.07996777451454858
China	0.03854229027904363
Czech Republic	0.0028688693078421437
Denmark	0.0028688822288972524
France	0.00286880193084297
Germany	0.06555206701163813
Ireland	0.0172095016024709
Japan	0.05072937076030578
Malaysia	0.0028700692672167074
Netherlands	0.008606198725200432
Norway	0.019169751491969925
Singapore	0.006745309057314992
South Korea	0.002868992980236227
Spain	0.02889122640434722
Sweden	0.0028688731865713956
Taiwan	0.05029899408158634
UK	0.2532486627409203
USA	0.26753545750636654
