node	Australia	Bangladesh	Canada	China	Czech Republic	Denmark	France	Germany	Ireland	Japan	Malaysia	Netherlands	Norway	Singapore	South Korea	Spain	Sweden	Taiwan	UK	USA
root	0.05685176860765991	0.00206688073861527	0.082163595056253	0.02280131275581863	0.0016972002927184426	0.0016972079797961473	0.0016971604330209516	0.038780082115488446	0.010181004648905222	0.030011092757408164	0.0016979101791521668	0.005091358799676238	0.0113406727016795	0.003990471935367519	0.0016972734563243533	0.017091820033912405	0.0016972025873477092	0.029756485339257385	0.15000618746657451	0.5296833121150241
n0	0.03611795393921779	0.0012437902465119801	0.08343024661920556	0.01372118375460233	0.0010213270320931632	0.001021331699968914	0.0010213030456569724	0.023336754271523086	0.006126640240540582	0.01805982501232675	0.0010217542216285347	0.0030638354203120746	0.0068244954012776846	0.0024013535716753426	0.0010213710598775106	0.010285372859761987	0.0010213284129397867	0.017906609490457963	0.09045111901464564	0.6809024046857765
DRR245210	0.08947076634494781	0.003361788951543647	0.08017086457579936	0.03708641716527219	0.0027605023773360302	0.00276051481430386	0.0027604375453947707	0.06307594296183944	0.016559440338497704	0.04881315025471413	0.0027616570101724382	0.00828111339049161	0.01844564491729465	0.006490515904047027	0.0027606213782040583	0.027799906728181348	0.002760506109552865	0.0483990303643873	0.24369983111789287	0.2917813477501269
n00	0.027551023387529017	0.0009037004368766652	0.08395360983752939	0.00996939780504464	0.0007420653825553672	0.0007420688029378865	0.0007420479547350953	0.016955781004332517	0.004451431945630684	0.0131217235382846	0.0007423757655727828	0.0022260903039068446	0.004958472293115938	0.0017447514520043796	0.0007420973718140554	0.007473041353132026	0.0007420663858394032	0.013010401770548432	0.06584377378717483	0.7433840794214354
DRR245185	0.07899619435555416	0.0029459696365169903	0.08081076770958276	0.03249920220183458	0.0024190561342141196	0.0024190670459031216	0.0024189993213287243	0.05527408634046075	0.014511205001886494	0.04277545693285232	0.002420067950638771	0.007256823362971841	0.016164105074945992	0.005687704893804145	0.002419160415877538	0.024361339245172225	0.0024190594047946213	0.042412559489225815	0.21361304478317866	0.3681761306992564
n1	0.01145855125879641	9.269269311156615e-05	0.00468126571377034	0.0010225626696690187	7.611376067455471e-05	7.611430175918461e-05	7.611197310034362e-05	0.0017391570963134657	0.00045658498898288474	0.0013458972101580552	7.614559670849509e-05	0.00022833042561296553	0.0005085912683845898	0.0001789624309612613	7.611704181775059e-05	0.0007665110035245534	7.6113863598576e-05	0.0013344789464033492	0.007576246477560506	0.968153451279092
n13161316	0.027601761536610737	0.0009202508161578958	0.09341992740231193	0.010151977461026564	0.0007556555757561248	0.0007556590487775305	0.0007556378287625757	0.0172663093542039	0.0045329554681862805	0.013362034920598231	0.0007559716431313773	0.0022668589450854184	0.005049281806658742	0.0017767046903913572	0.0007556881508664321	0.007609902710869242	0.0007556565974134248	0.013248674403414101	0.06700638982996682	0.7312527018098113
n11	0.0034296826422755334	1.5176328672072685e-05	0.0007450706853822171	0.000167421472478485	1.2461904058329666e-05	1.2462169122433943e-05	1.2461611383547421e-05	0.0002847475995509882	7.475630956262427e-05	0.00022036018260263206	1.2467116487686021e-05	3.73839346836744e-05	8.327029965079633e-05	2.930383178892354e-05	1.2462441271198733e-05	0.00012549881257897498	1.2461920925595917e-05	0.00021849072573487202	0.002003488806099536	0.99249057120569
SRR25361520	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1317	0.027637318177508897	0.0009216955042981856	0.09363120005889676	0.010167914900234267	0.0007568418682638528	0.0007568453465661526	0.0007568240934095611	0.017293415477764834	0.004540071687070407	0.013383011781512135	0.0007571584318286013	0.0022704176534029483	0.005057208599457164	0.0017794939100897822	0.0007568744945133438	0.007621849384539202	0.000756842891525019	0.013269473301304912	0.06711084126165096	0.730774701176163
