state	colour
Australia	#cc8466
Bangladesh	#339ecc
Canada	#cc8e33
China	#99adcc
Czech Republic	#ccc699
Denmark	#6670cc
France	#b7cc66
Germany	#5133cc
Ireland	#7fcc33
Japan	#b299cc
Malaysia	#a3cc99
Netherlands	#b766cc
Norway	#66cc70
Singapore	#cc33bc
South Korea	#33cc70
Spain	#cc99b7
Sweden	#99ccbc
Taiwan	#cc6684
UK	#66cccc
USA	#cc3333
