parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-2.6739999184886187
log_likelihood_restricted_MAP	-3.0284053452551953
method	MAP
model	F81
num_nodes	15
num_tips	8
scaling_factor	0.04323499902431398
smoothing_factor	0
state_changes_per_avg_branch	0.46834514971119273
Germany	0.1764534080709811
UK	0.8235465919290189
