node	Canada	Ireland	Singapore	UK	USA
Node_29	0.036726313407269576	0.09156001564436554	0.06585527809505243	0.2659625062214473	0.5398958866318652
Node_1	0.021634468313671322	0.045123182177147746	0.021664146069317207	0.02187171891033339	0.8897064845295304
Node_28	0.03603599008778264	0.09044268374476785	0.06579084647744203	0.2701975092279232	0.5375329704620843
SRR30795422	0.0	0.0	0.0	0.0	1.0
SRR30795420	0.0	0.0	0.0	0.0	1.0
Node_5	0.021056957558815457	0.349062448232393	0.021954042210342112	0.02812015363121442	0.5798063983672349
Node_27	0.036035036800028286	0.09043968042975241	0.06579099833902223	0.2702052527315547	0.5375290316996424
Node_2	1.2031685479460873e-11	0.9999999997829966	1.218798305176685e-11	1.3263725457866741e-11	1.7952005814507834e-10
Node_4	0.02105683911353654	0.34903880418137995	0.02195385495616743	0.028119493675194257	0.5798310080737219
Node_19	0.012031743775375097	0.025234624765786817	0.013881726622707006	0.8258056646120883	0.12304624022404295
Node_26	0.036035190699100834	0.09043926245705795	0.06579275104807134	0.2701941034744714	0.5375386923212986
ERR4020108	0.0	1.0	0.0	0.0	0.0
ERR459865	0.0	1.0	0.0	0.0	0.0
Node_3	0.021769463000387363	0.24232146648200026	0.02234823903185064	0.026327856544515662	0.6872329749412461
SRR12051507	0.0	0.0	0.0	0.0	1.0
Node_11	0.4090630334544538	0.27326321686550165	0.027530827301230708	0.03196890262714864	0.2581740197516651
Node_18	6.126536062262775e-12	1.2836207427602286e-11	6.904047466139283e-12	0.9999999999123853	6.17478380827751e-11
SRR14719266	0.0	0.0	1.0	0.0	0.0
Node_25	0.013921570666472776	0.03036391445978882	0.01652176133172359	0.03438402331025401	0.9048087302317608
SRR7800595	0.0	0.0	0.0	0.0	1.0
SRR30795548	0.0	0.0	0.0	0.0	1.0
Node_7	8.15601558412696e-07	0.9999968529430361	2.0427005920584694e-07	2.113881750402296e-07	1.915797171381772e-06
Node_10	0.9999999999046718	2.930430380760568e-11	5.7712809343188505e-12	6.126527117231695e-12	5.4126025203094274e-11
Node_17	2.8578979140391577e-17	5.973691705941428e-17	3.044644236703178e-17	0.9999999999999994	2.7833884344282453e-16
ERR343219	0.0	0.0	0.0	1.0	0.0
SRR30795574	0.0	0.0	0.0	0.0	1.0
Node_24	0.013921591371821591	0.030363860130337213	0.01652159247725524	0.03438255243343047	0.9048104035871556
ERR4020107	0.0	1.0	0.0	0.0	0.0
ERR4020092	0.0	1.0	0.0	0.0	0.0
SRR16943812	1.0	0.0	0.0	0.0	0.0
Node_9	0.9999999999999997	9.92930809264134e-17	2.7724336181369285e-17	2.8578284431457587e-17	2.600205180223395e-16
Node_16	1.3861515126353534e-17	2.8901157750787873e-17	1.38612624452426e-17	0.9999999999999998	1.3000550291863153e-16
ERR374083	0.0	0.0	0.0	1.0	0.0
Node_21	0.017634264350042818	0.036837875472724796	0.017771126989550336	0.018714210017749207	0.9090425231699328
Node_23	0.0042468389650447075	0.008972430346939122	0.004475791335548209	0.006049118748420231	0.9762558206040478
SRR16943809	1.0	0.0	0.0	0.0	0.0
Node_8	0.9999999999999998	2.889973169448474e-17	1.3860526385101092e-17	1.3861133703935495e-17	1.2999861669687367e-16
Node_15	1.386147977125808e-17	2.8901083675455024e-17	1.3861222603562042e-17	0.9999999999999998	1.3000514658497657e-16
ERR374104	0.0	0.0	0.0	1.0	0.0
SRR7800709	0.0	0.0	0.0	0.0	1.0
Node_20	0.017634265030043707	0.03683787229694303	0.017771118738701918	0.018714140423862786	0.9090426035104486
ERR373973	0.0	0.0	0.0	0.0	1.0
Node_22	2.2466800187041035e-11	4.7237938493683266e-11	2.323400195633631e-11	2.8507510182655865e-11	0.9999999998785538
SRR16943810	1.0	0.0	0.0	0.0	0.0
SRR16943813	1.0	0.0	0.0	0.0	0.0
Node_14	1.3861513069825035e-17	2.8901153102722e-17	1.3861255901500447e-17	0.9999999999999998	1.3000545888815952e-16
ERR340505	0.0	0.0	0.0	1.0	0.0
SRR30795453	0.0	0.0	0.0	0.0	1.0
SRR12051601	0.0	0.0	0.0	0.0	1.0
ERR363461	0.0	0.0	0.0	0.0	1.0
ERR363408	0.0	0.0	0.0	0.0	1.0
Node_12	1.3861446472361343e-17	2.890101424749857e-17	1.3861189305272317e-17	0.9999999999999998	1.3000483427858158e-16
Node_13	1.3861446472361343e-17	2.890101424749857e-17	1.3861189305272317e-17	0.9999999999999998	1.3000483427858158e-16
ERR351971	0.0	0.0	0.0	1.0	0.0
ERR343234	0.0	0.0	0.0	1.0	0.0
ERR374084	0.0	0.0	0.0	1.0	0.0
ERR374135	0.0	0.0	0.0	1.0	0.0
