parameter	value
pastml_version	1.9.34
character	geo_loc_name_country
log_likelihood	-13.037977430669937
log_likelihood_restricted_MAP	-16.08099931156506
method	MAP
model	F81
num_nodes	21
num_tips	11
scaling_factor	0.08853897544417075
smoothing_factor	0
state_changes_per_avg_branch	0.48651993027485074
Australia	0.150298950667236
China	0.15029802070509812
Germany	0.15030466796170652
Japan	0.24850009682383867
Spain	0.1502980497117384
USA	0.15030021413038216
