node	Australia	China	Germany	Japan	Spain	USA
root	0.22152319807346352	0.20103131151407286	0.1552043956936782	0.24471944510691968	0.07380057008302952	0.10372107952883616
n0	0.22153654706646125	0.2010144858654208	0.15519246247450896	0.2447310410561314	0.0738011877491122	0.1037242757883653
n33	0.13697608782116744	0.32287632081202494	0.23824057941745166	0.1641367482960907	0.061212168662033835	0.07655809499123165
n00	0.2215260467285434	0.2010055416860651	0.1551869932792794	0.2447529575314788	0.0738057515113937	0.1037227092632397
n22	0.221556774365137	0.2010040257155011	0.15518574991129466	0.24472091221309525	0.07380113109611298	0.10373140669885912
SRR29408734	0.0	1.0	0.0	0.0	0.0	0.0
n4	7.68921033924853e-11	1.1681298326305556e-10	0.9999999995680099	1.137449721205068e-10	6.062188452319869e-11	6.39180314991507e-11
ERR11194171	0.0	0.0	0.0	0.0	1.0	0.0
n1	0.008754186566955294	0.008392474770152186	0.007585119728782204	0.9624397901991202	0.006150530507407526	0.006677898227582565
SRR25361534	1.0	0.0	0.0	0.0	0.0	0.0
n3	6.751541899768223e-11	6.640038827637074e-11	6.391786857770473e-11	1.0503336057022096e-10	5.950149428516065e-11	0.9999999996376314
ERR8266590	0.0	0.0	1.0	0.0	0.0	0.0
ERR1413200	0.0	0.0	1.0	0.0	0.0	0.0
Japan43	0.0	0.0	0.0	1.0	0.0	0.0
n11	0.0004724110819765229	0.0004586136333736032	0.0004278252206553041	0.9978748323375596	0.00037310030473048706	0.00039321742170452965
SRR13786036	0.0	0.0	0.0	0.0	0.0	1.0
SRR13786025	0.0	0.0	0.0	0.0	0.0	1.0
DRR317405	0.0	0.0	0.0	1.0	0.0	0.0
n2	0.0004722613842073507	0.0004584732147672727	0.0004277055178539113	0.9978754214892843	0.000373017402661223	0.0003931209912259849
Japan176	0.0	0.0	0.0	1.0	0.0	0.0
DRR245231	0.0	0.0	0.0	1.0	0.0	0.0
