node	Canada	UK	USA
Node_25	0.16531489581400824	0.49708214901061576	0.337602955175376
Node_2	0.3420904052446824	0.4898246203434211	0.1680849744118964
Node_24	0.16517705476894926	0.4972274675959747	0.33759547763507597
ERR5413758	0.0	1.0	0.0
Node_1	0.9999999998868018	7.259664744997216e-11	4.060169992911207e-11
Node_5	5.619282179752435e-11	0.9999999998220687	1.217383879780383e-10
Node_23	0.16355820532842838	0.4916007448287625	0.34484104984280906
SRR16943770	1.0	0.0	0.0
SRR16943763	1.0	0.0	0.0
Node_4	1.4578187816747514e-15	0.9999999999999953	3.160280227446724e-15
ERR5412089	0.0	1.0	0.0
ERR5412530	0.0	1.0	0.0
Node_22	0.16274198435065448	0.48861472407217166	0.34864329157717383
ERR363267	0.0	1.0	0.0
ERR330781	0.0	1.0	0.0
Node_6	7.00154486072313e-05	0.00021001900400356962	0.9997199655473892
Node_21	2.89642810792939e-07	8.688154580312102e-07	0.9999988415417311
SRR7800470	0.0	0.0	1.0
SRR7800471	0.0	0.0	1.0
Node_7	3.771311171859447e-09	1.1312462526151657e-08	0.9999999849162262
Node_20	3.6934224167542097e-09	1.1078824669207813e-08	0.9999999852277529
SRR7800707	0.0	0.0	1.0
SRR7800493	0.0	0.0	1.0
Node_8	3.5042476519533635e-14	1.0511374262893597e-13	0.9999999999998598
Node_19	7.217692245077591e-10	2.1650257640412286e-09	0.999999997113205
SRR7800635	0.0	0.0	1.0
SRR7800524	0.0	0.0	1.0
SRR7800488	0.0	0.0	1.0
Node_18	7.154641703053187e-15	2.1461130640694762e-14	0.9999999999999714
Node_17	3.8109935448190173e-16	1.1431492132066218e-15	0.9999999999999984
SRR7800634	0.0	0.0	1.0
Node_16	3.810357866475132e-16	1.1429585345318566e-15	0.9999999999999984
SRR7800643	0.0	0.0	1.0
Node_15	3.8103936193546687e-16	1.1429692589992773e-15	0.9999999999999984
SRR7800638	0.0	0.0	1.0
Node_9	3.8103221013286375e-16	1.1429478063848275e-15	0.9999999999999984
Node_14	3.8103578605095017e-16	1.1429585327424004e-15	0.9999999999999984
SRR7800636	0.0	0.0	1.0
SRR7800637	0.0	0.0	1.0
Node_13	3.810357872159981e-16	1.1429585362370891e-15	0.9999999999999984
SRR12051838	0.0	0.0	1.0
SRR7800680	0.0	0.0	1.0
Node_12	3.811635059691067e-16	1.1433416426118726e-15	0.9999999999999984
Node_11	1.3990372227174595e-14	4.19656523053017e-14	0.999999999999944
SRR7800490	0.0	0.0	1.0
SRR12051521	0.0	0.0	1.0
Node_10	1.4501578221190309e-09	4.349907061990358e-09	0.9999999941999351
SRR7800491	0.0	0.0	1.0
SRR12051827	0.0	0.0	1.0
