node	Canada	China	Ireland	UK	USA
Node_129	0.020368839538044393	0.014909178828651745	0.015028531932667804	0.055939336252810536	0.8937541134478255
Node_7	0.0004552160811310478	0.00033974185800659173	0.00034247128124335766	0.0010537031267517027	0.9978088676528672
Node_128	0.008267437963897116	0.005827656201026707	0.005873977711044905	0.029425600812820276	0.9506053273112111
Node_6	4.820016595284755e-08	3.5973617610595706e-08	3.626262349426045e-08	1.1156021020347676e-07	0.9999997680033827
SRR30795445	0.0	0.0	0.0	0.0	1.0
Node_8	0.046859262574038975	0.03491227101992599	0.035192662379048986	0.41416344762015056	0.46887235640683544
Node_127	0.0017149143378485674	0.0009044885219606086	0.0009112106252392682	0.005672671674643295	0.9907967148403083
Node_4	2.178043288865946e-08	1.625557339640607e-08	1.6386167900593496e-08	5.0410999097633435e-08	0.9999998951668269
Node_5	2.295463642762196e-05	1.7135357342684703e-05	1.7273024856075415e-05	5.3025670026548636e-05	0.9998896113113471
ERR5412050	0.0	0.0	0.0	1.0	0.0
SRR30795472	0.0	0.0	0.0	0.0	1.0
Node_17	0.007746842333806434	0.0005052664038859258	0.000509304098726345	0.014824916986913603	0.9764136701766676
Node_126	3.204822492459529e-06	2.0256608234065837e-06	1.4083193198302323e-06	0.00010066873979038403	0.999892692457574
Node_3	1.951579909260488e-08	1.4565455841315951e-08	1.4682472324460299e-08	4.516751445158568e-08	0.9999999060687582
SRR12051659	0.0	0.0	0.0	0.0	1.0
SRR30795423	0.0	0.0	0.0	0.0	1.0
SRR30795408	0.0	0.0	0.0	0.0	1.0
SRR7800696	0.0	0.0	0.0	0.0	1.0
Node_16	0.007751595788937773	0.0005054502708606062	0.0005094894488369105	0.01483357931864829	0.9763998851727164
SRR12051680	0.0	0.0	0.0	0.0	1.0
Node_125	3.0767770583806036e-06	1.9557216807254766e-06	1.337387885883541e-06	0.00010029580546808931	0.999893334307907
Node_1	8.539162610594936e-08	6.374096619303832e-08	6.425306462457222e-08	1.9734183088989812e-07	0.9999995892725122
Node_2	4.4519532473637756e-08	3.323044731368205e-08	3.349742058583464e-08	1.0292639511297319e-07	0.9999997858262044
Node_14	0.007756968619192373	0.0005057071414187875	0.000509748387511385	0.014831687603724246	0.9763958882481533
Node_15	3.733451704865644e-11	2.45969089564469e-11	2.479451004142747e-11	0.9999999991665327	7.467413950972464e-10
Node_39	4.173538402340414e-06	1.9964724578859416e-06	1.379207759643227e-06	0.0001003116641116398	0.9998921391172685
Node_124	3.0389394462356467e-06	2.0386526114166214e-06	1.3936789163141593e-06	0.00010261486261321356	0.9998909138664128
SRR30795499	0.0	0.0	0.0	0.0	1.0
SRR12051681	0.0	0.0	0.0	0.0	1.0
SRR30795451	0.0	0.0	0.0	0.0	1.0
SRR12051576	0.0	0.0	0.0	0.0	1.0
SRR26728071	1.0	0.0	0.0	0.0	0.0
Node_13	0.0005181647830456226	0.00014845183762429105	0.00014964354032367155	0.0010577392098179122	0.9981260006291885
ERR5413517	0.0	0.0	0.0	1.0	0.0
ERR5413086	0.0	0.0	0.0	1.0	0.0
Node_21	0.00034081869661888546	0.00025368072296088224	0.00025530211443824843	0.0008469582701215135	0.9983032401958605
Node_38	0.0437489874113691	0.0008276606385239836	0.0008340136360915517	0.002605284555676118	0.9519840537583393
Node_68	3.0390842664455886e-06	2.049420596411363e-06	1.397833712101616e-06	0.000102572366944365	0.9998909412944806
Node_123	4.415564185304387e-06	1.643135559156678e-05	1.706364684243957e-05	0.0003008851366787387	0.999661204296702
SRR12051861	0.0	0.0	0.0	0.0	1.0
Node_12	0.000287804572211325	0.00012917014690301169	0.00013020756411914977	0.0006147891399145374	0.9988380285768519
Node_20	0.00029884134124819604	0.0002230194524388968	0.00022477613338254138	0.0006953521290508656	0.9985580109438796
SRR30795454	0.0	0.0	0.0	0.0	1.0
Node_29	2.280796393855787e-07	3.902283505785244e-08	3.933512661971716e-08	1.2093851179027824e-07	0.9999995726238871
Node_37	0.16235579444471845	0.0021761091943206315	0.002193383649771933	0.006765020808344145	0.8265096919028448
Node_51	3.318397747310633e-06	2.382638996733589e-06	1.6082280903604447e-06	0.00010319446789412672	0.9998894962672714
Node_67	3.2239853880329342e-06	2.187528483090402e-06	1.5372993471973033e-06	0.00010393814685317793	0.9998891130399284
Node_79	5.793262434853249e-06	1.745716922152255e-05	3.273530821970517e-05	0.00033920200476598777	0.999604812255358
Node_122	8.191424731514794e-06	5.5858622212167504e-05	1.9903446975791224e-05	0.0003460215542636033	0.9995700249518169
SRR12051675	0.0	0.0	0.0	0.0	1.0
Node_11	9.357963542508869e-05	6.90961287609363e-05	6.965125222590299e-05	0.00021572680656809821	0.9995519461770199
Node_19	0.0005177138681432606	0.0003864534647529559	0.0003895505404742253	0.0011970365845411727	0.9975092455420884
SRR7800633	0.0	0.0	0.0	0.0	1.0
