node	France	Germany	Ireland	UK	USA
Node_144	0.01171610318977714	0.13103737690672	0.04036565569157118	0.14094976637347867	0.675931097838453
Node_1	0.005214083102057869	0.05729504258408365	0.015613959089773359	0.060936072921936264	0.8609408423021488
Node_143	0.011687017153956356	0.1309421805235343	0.04079499925658472	0.14100353656297182	0.6755722665029529
SRR30795561	0.0	0.0	0.0	0.0	1.0
SRR30795560	0.0	0.0	0.0	0.0	1.0
Node_2	0.003821567266384249	0.04199516253767057	0.011448119339009426	0.044665150458458945	0.8980700003984768
Node_142	0.011647491208368381	0.13084883676871328	0.04146134386029326	0.141139799479423	0.6749025286832021
SRR12051563	0.0	0.0	0.0	0.0	1.0
SRR12051599	0.0	0.0	0.0	0.0	1.0
Node_24	0.012009409797705374	0.132582507006217	0.03603197759294923	0.1403143925743473	0.679061713028781
Node_141	0.007895499239533853	0.12030651704597045	0.10107949399157741	0.15131922738174575	0.6193992623411725
Node_22	0.012009416637075627	0.1325823671273293	0.036031956816882954	0.14031441210848855	0.6790618473102236
Node_23	1.635358608610332e-10	0.9999999881843719	4.897208415892629e-10	1.9112145583855127e-09	9.251156816002173e-09
Node_49	0.002502327844387585	0.19719606028291561	0.011429550296759341	0.09903732078756591	0.6898347407883715
Node_140	0.007895197932393318	0.12029385359377702	0.10110808118500882	0.15132831269928307	0.6193745545895377
SRR12051618	0.0	0.0	0.0	0.0	1.0
Node_21	0.012045604928396006	0.13241393881502128	0.03597474761986877	0.14033533002556148	0.6792303786111525
ERR7253673	0.0	1.0	0.0	0.0	0.0
ERR4298299	0.0	1.0	0.0	0.0	0.0
ERR5412066	0.0	0.0	0.0	1.0	0.0
Node_48	0.0024995313316469423	0.19722352030884796	0.011415405848677443	0.0990054085749535	0.6898561339358742
Node_124	0.007896089257360813	0.12029675507154888	0.10109605557545277	0.15132025852379336	0.6193908415718441
Node_139	0.007895324631477324	0.12028221711853497	0.10112700557344777	0.15134204757313485	0.6193534051034052
Node_9	0.012339765533231626	0.13461566003113823	0.0358386229807609	0.1398594782560579	0.6773464731988114
Node_20	2.7084994948755957e-07	2.976239380842773e-06	8.110802535354738e-07	0.9999806199560185	1.5321874397588977e-05
Node_46	0.002498283483825411	0.19729685636430092	0.011407665555783198	0.09900371929661436	0.6897934752994761
Node_47	6.810890312873117e-10	1.3655261603456628e-08	2.1824505368802585e-09	1.0496946988962702e-08	0.9999999729842518
Node_101	0.008915897012336868	0.12273886048347427	0.0885221363927523	0.1402761355787328	0.6395469705327038
Node_123	0.007897368261388626	0.12030115699935082	0.10107484477789239	0.15131611891112987	0.6194105110502384
SRR12574869	0.0	0.0	0.0	0.0	1.0
Node_138	0.007457852666255214	0.0986513453762463	0.14360146976266167	0.17765853325882924	0.5726307989360075
Node_3	1.6353922511356295e-10	0.999999988184562	4.897118279558504e-10	1.911181775666021e-09	9.251005176201315e-09
Node_6	0.14279842842384055	0.7142095844644417	8.250631117821643e-06	3.219945665105762e-05	0.14295153702394872
ERR459982	0.0	0.0	0.0	1.0	0.0
Node_19	5.412895473471471e-07	5.94796958950239e-06	1.6209317096270347e-06	0.9999612692730887	3.0620536064746895e-05
Node_32	0.002499179589353606	0.1972080014906632	0.011408067277579948	0.0990326591078713	0.689852092534532
Node_45	0.0024990253639661964	0.197467517589405	0.01140725407105122	0.09898380300105962	0.6896423999745179
SRR31495972	0.0	0.0	0.0	0.0	1.0
SRR31495970	0.0	0.0	0.0	0.0	1.0
Node_99	0.00871360286514748	0.12221974416064456	0.09303538671261394	0.12363933425739133	0.6523919320042028
Node_100	0.011621481484123165	0.12953355286251378	0.03937126208739294	0.13848502802881385	0.6809886755371563
ERR1413182	0.0	1.0	0.0	0.0	0.0
Node_122	0.008797664132050737	0.12261298962663952	0.08625988332467235	0.1484903273093211	0.6338391356073163
Node_133	0.0074935051826238025	0.09415675508593015	0.18491298399643935	0.1515962088709321	0.5618405468640746
Node_137	0.007692612006241227	0.09659558451241428	0.11064523206365923	0.21261689075011794	0.5724496806675672
ERR4298320	0.0	1.0	0.0	0.0	0.0
ERR7253695	0.0	1.0	0.0	0.0	0.0
ERR1413186	0.0	1.0	0.0	0.0	0.0
Node_4	0.42853325720391267	0.142817339581239	4.950776845676935e-06	1.9321229548394558e-05	0.42862513120845436
Node_15	2.674900156224515e-11	2.9393186731377283e-10	8.010187130426696e-11	0.9999999980860368	1.5131804959577463e-09
Node_18	7.938098494974412e-11	8.72279329049956e-10	2.3771225350895273e-10	0.9999999943200764	4.490551092044687e-09
Node_26	0.0023190018595379337	0.04491495170045261	0.007393654498202927	0.035095382975249535	0.9102770089665569
Node_31	0.0021927137509516223	0.04211699742110663	0.006982874336806114	0.305467672226143	0.6432397422649926
Node_41	0.002501983642534016	0.1974437304774338	0.01141481359317903	0.0990109596065936	0.6896285126802596
Node_44	0.002499861073358982	0.19764400272818794	0.011407164258535947	0.09894746749731044	0.6895015044426067
Node_98	0.008221337239587373	0.12086943573066541	0.10031095531758566	0.1171828234676376	0.6534154482445239
ERR7253742	0.0	1.0	0.0	0.0	0.0
ERR373970	0.0	0.0	0.0	0.0	1.0
ERR374014	0.0	0.0	0.0	0.0	1.0
SRR12051841	0.0	0.0	0.0	0.0	1.0
Node_121	0.010924695896069602	0.12659333254679522	0.047833953502653695	0.13921016639594525	0.6754378516585362
ERR373966	0.0	0.0	0.0	0.0	1.0
Node_132	0.006381658894402371	0.07548794271729609	0.305355233231305	0.10364307204057308	0.5091320931164236
SRR12051653	0.0	0.0	0.0	0.0	1.0
Node_136	0.007518723445006151	0.08863575562593375	0.06620042620610342	0.31695453519163436	0.5206905595313224
SRR315577	0.0	0.0	0.0	0.0	1.0
SRR20982494	1.0	0.0	0.0	0.0	0.0
Node_14	9.048134668352912e-15	9.942558463669312e-14	2.709531109279892e-14	0.9999999999993525	5.118494188709051e-13
ERR5414349	0.0	0.0	0.0	1.0	0.0
ERR3198414	0.0	0.0	0.0	1.0	0.0
