node	Australia	Spain	Taiwan	Thailand	USA
Node_26	0.13359526240109018	0.1044783931795464	0.10412056895655239	0.10503360878534028	0.5527721666774708
ERR3198388	0.0	1.0	0.0	0.0	0.0
Node_25	0.13351794660397387	0.09238382158984867	0.10159876270850275	0.10260626674144878	0.569893202356226
SRR12051677	0.0	0.0	0.0	0.0	1.0
Node_24	0.1398733440405725	0.08008160577038012	0.10288879038327442	0.1040810945833	0.573075165222473
DRR317553	0.0	0.0	1.0	0.0	0.0
Node_23	0.13987441700011974	0.08008038013952938	0.1028868716448874	0.1040815021709169	0.5730768290445465
Node_4	5.596256626991042e-12	5.13587219130603e-12	5.227449103707922e-12	0.9999999999672172	1.6823256773840286e-11
Node_22	0.14289242627124035	0.07797536644806093	0.09942862643422752	0.10055239741550484	0.5791511834309664
SRR14043048	0.0	0.0	0.0	1.0	0.0
Node_3	2.4429941006018164e-17	2.287683489720764e-17	2.3082566800486997e-17	1.0	7.199728551815976e-17
Node_7	1.3127017890760972e-07	1.1680366061193318e-07	1.199935235424555e-07	1.2016158166667033e-07	0.9999995117710554
Node_21	0.1428946506722727	0.07797492649619658	0.0994276586545478	0.10055140200056514	0.5791513621764178
SRR14043060	0.0	0.0	0.0	1.0	0.0
SRR14043028	0.0	0.0	0.0	1.0	0.0
Node_5	8.896661450378359e-13	7.916289305461745e-13	8.132449909600885e-13	8.143838354445496e-13	0.9999999999966911
Node_6	1.0383301473995962e-09	9.92890688003125e-10	9.92893424158934e-10	9.929026817620534e-10	0.9999999959829831
Node_11	0.00018934595704023888	0.00015694292522918903	0.00016576216685340437	0.00016622528539001055	0.9993217236654871
Node_19	0.9999999994886465	7.790432090206742e-11	8.026239334241614e-11	8.038655104332024e-11	2.728003416024676e-10
ERR363485	0.0	0.0	0.0	0.0	1.0
ERR363432	0.0	0.0	0.0	0.0	1.0
ERR374002	0.0	0.0	0.0	0.0	1.0
ERR373954	0.0	0.0	0.0	0.0	1.0
Node_9	9.441635133663516e-10	8.656959993295089e-10	8.792826453963957e-10	8.800018385428309e-10	0.9999999964308559
Node_10	1.3770026388710787e-05	1.1924468254732497e-05	1.2379011690387281e-05	1.2402916014888769e-05	0.9999495235776512
Node_14	0.9999999991011482	1.4280560135210882e-10	1.4499904538572975e-10	1.4511518073544811e-10	4.659321265366372e-10
Node_18	0.9999999999999989	1.9542653210512077e-16	2.0096645422076232e-16	2.0125825715657595e-16	6.7831324838829e-16
SRR12051520	0.0	0.0	0.0	0.0	1.0
SRR7800712	0.0	0.0	0.0	0.0	1.0
SRR12051509	0.0	0.0	0.0	0.0	1.0
SRR12051870	0.0	0.0	0.0	0.0	1.0
Node_13	0.9999873069137384	2.1097291499002267e-06	2.1097288821461355e-06	2.109748234660665e-06	6.36387999496628e-06
ERR459779	1.0	0.0	0.0	0.0	0.0
ERR459780	1.0	0.0	0.0	0.0	0.0
Node_17	1.0	1.2400224611847117e-17	1.2400235833214295e-17	1.2400350250104149e-17	3.7404789204191284e-17
Node_12	0.9999999999997231	4.602967188364527e-14	4.602966524900123e-14	4.603008743700215e-14	1.3884591833588922e-13
ERR459782	1.0	0.0	0.0	0.0	0.0
ERR459776	1.0	0.0	0.0	0.0	0.0
Node_16	1.0	1.2399794613636396e-17	1.2399792819845782e-17	1.2399906551458749e-17	3.740328347026067e-17
ERR459783	1.0	0.0	0.0	0.0	0.0
ERR459781	1.0	0.0	0.0	0.0	0.0
Node_15	1.0	1.2399765480914831e-17	1.2399763687097898e-17	1.2399877418442032e-17	3.740319559255311e-17
ERR459843	1.0	0.0	0.0	0.0	0.0
ERR459778	1.0	0.0	0.0	0.0	0.0
ERR459777	1.0	0.0	0.0	0.0	0.0
