state	colour
Australia	#a6cee3
Canada	#1f78b4
Czech Republic	#b2df8a
Denmark	#33a02c
Germany	#fb9a99
Ireland	#e31a1c
Netherlands	#fdbf6f
Spain	#ff7f00
Sweden	#cab2d6
UK	#6a3d9a
USA	#ffff99
