node	geo_loc_name_country
Node_996	USA
Node_128	Australia
Node_995	USA
SRR31112622	Spain
Node_127	Australia
Node_131	USA
Node_994	USA
Node_119	Australia
Node_126	Australia
Node_129	Canada
Node_130	UK
Node_144	USA
Node_993	USA
Node_101	UK
Node_118	UK
Node_121	Australia
Node_125	Australia
SRR26727944	Canada
SRR26727941	Canada
ERR5413767	UK
ERR369154	UK
Node_142	USA
Node_143	USA
Node_147	USA
Node_992	USA
Node_10	UK
Node_100	UK
Node_104	UK
Node_117	UK
SRR6871397	Australia
ERR459814	Australia
SRR6871402	Australia
Node_124	Australia
Node_140	USA
Node_141	USA
SRR12051840	USA
SRR12051843	USA
Node_145	UK
Node_146	USA
Node_203	USA
Node_991	USA
Node_1	UK
ERR115070	UK
Node_93	UK
Node_99	UK
ERR1081300	UK
Node_103	UK
Node_109	UK
Node_116	UK
Node_123	Australia
SRR6871403	Australia
Node_139	USA
SRR12051578	USA
SRR30795503	USA
SRR30795461	USA
ERR114967	UK
ERR115035	UK
SRR7800549	USA
SRR7800552	USA
Node_200	USA
Node_202	USA
Node_869	USA
Node_990	USA
ERR567874	UK
ERR3198408	UK
ERR5414157	UK
Node_92	UK
Node_94	UK
Node_98	UK
ERR5413006	UK
Node_102	UK
Node_107	UK
Node_108	UK
ERR5413077	UK
Node_115	UK
Node_122	Australia
SRR6871395	Australia
SRR30795547	USA
Node_138	USA
SRR7800669	USA
Node_199	USA
ERR1413208	Germany
SRR12051536	USA
Node_863	USA
Node_868	Germany
SRR7800515	USA
Node_989	Germany
Node_16	UK
Node_91	UK
ERR5413060	UK
ERR5413096	UK
Node_95	UK
Node_97	UK
ERR5414272	UK
ERR5412534	UK
Node_105	UK
Node_106	UK
ERR330891	UK
ERR369226	UK
ERR5413076	UK
Node_114	UK
SRR25361503	Australia
SRR6871400	Australia
Node_135	USA
Node_137	Ireland
Node_151	Czech Republic
Node_198	USA
Node_218	USA
Node_862	USA
ERR7253720	Germany
Node_867	Germany
Node_875	Germany
Node_988	Germany
Node_13	UK
ERR5413474	UK
Node_42	UK
Node_90	UK
ERR484997	UK
ERR485003	UK
ERR5412755	UK
Node_96	UK
ERR343184	UK
ERR374046	UK
ERR369270	UK
ERR337831	UK
Node_112	UK
Node_113	UK
SRR7800640	USA
Node_134	USA
ERR4020099	Ireland
Node_136	Ireland
Node_149	Czech Republic
Node_150	UK
Node_154	UK
Node_197	UK
Node_211	USA
Node_216	USA
Node_223	USA
Node_861	USA
Node_865	Germany
Node_866	Germany
ERR4326538	Germany
Node_874	Germany
Node_876	Germany
Node_984	Germany
ERR5413942	UK
Node_12	UK
Node_27	UK
Node_41	UK
ERR115024	UK
Node_89	UK
ERR5413245	UK
ERR5413151	UK
Node_110	UK
Node_111	UK
SRR6046918	UK
ERR5412997	UK
Node_132	USA
Node_133	USA
ERR459864	Ireland
ERR4020117	Ireland
Node_148	Czech Republic
SRR27279513	Czech Republic
ERR5413720	UK
ERR5413689	UK
Node_153	UK
ERR115032	UK
Node_166	UK
Node_196	UK
Node_206	USA
Node_210	USA
SRR30795483	USA
Node_215	USA
Node_222	USA
SRR12051510	USA
ERR373948	USA
Node_860	USA
Node_864	Germany
ERR7253815	Germany
ERR4298322	Germany
ERR7253697	Germany
ERR7253769	Germany
Node_873	Germany
ERR2759458	Netherlands
ERR494977	Sweden
Node_968	Germany
Node_983	Germany
ERR5413213	UK
ERR5413988	UK
ERR5414209	UK
Node_26	UK
Node_28	UK
Node_40	UK
ERR115094	UK
Node_88	UK
ERR5414146	UK
ERR5412676	UK
ERR5413268	UK
SRR6045813	UK
SRR7800600	USA
SRR7800641	USA
SRR7800599	USA
SRR7800642	USA
SRR27279534	Czech Republic
SRR27279533	Czech Republic
Node_152	UK
ERR115047	UK
Node_155	UK
Node_165	UK
Node_174	Germany
Node_195	UK
Node_204	UK
Node_205	Canada
SRR32028584	USA
Node_209	USA
Node_214	USA
SRR12051704	USA
SRR12051647	USA
Node_221	USA
Node_229	Canada
Node_859	USA
ERR7253704	Germany
ERR4298329	Germany
ERR4326512	Germany
Node_872	Germany
Node_896	Germany
Node_967	Germany
Node_970	UK
Node_982	UK
Node_22	UK
Node_25	UK
ERR5413876	UK
ERR5413815	UK
ERR494847	UK
Node_39	UK
Node_87	UK
ERR114975	UK
ERR115033	UK
ERR115031	UK
ERR330886	UK
ERR369221	UK
Node_156	UK
Node_164	UK
Node_173	Germany
ERR4326523	Germany
Node_178	UK
Node_194	UK
ERR374190	UK
ERR340560	UK
SRR16943762	Canada
SRR16943761	Canada
SRR12051508	USA
Node_208	USA
SRR7800629	USA
Node_213	USA
Node_220	USA
SRR12051649	USA
Node_224	Canada
Node_228	Canada
Node_240	USA
Node_858	USA
ERR4326537	Germany
Node_871	Germany
Node_894	Germany
Node_895	Germany
Node_956	Germany
Node_966	Germany
ERR5413079	UK
Node_969	Netherlands
SRR6388718	UK
Node_981	UK
ERR5412947	UK
ERR5414075	UK
ERR5414213	UK
Node_24	UK
ERR494840	UK
Node_38	UK
Node_44	UK
Node_86	UK
ERR5412559	UK
ERR5414192	UK
ERR5412466	UK
Node_163	UK
Node_168	Germany
Node_172	Germany
Node_175	UK
Node_177	UK
Node_193	UK
SRR6046370	UK
SRR12051707	USA
Node_207	USA
SRR12051694	USA
Node_212	USA
SRR12051645	USA
Node_219	USA
SRR26727952	Canada
SRR26728095	Canada
Node_226	Canada
Node_227	Canada
ERR5413010	UK
Node_239	USA
Node_694	USA
Node_857	UK
ERR4326539	Germany
Node_870	Germany
Node_880	Germany
Node_893	Germany
ERR2759467	Netherlands
ERR369141	Denmark
Node_927	Germany
Node_955	Germany
ERR7253828	Germany
Node_965	Germany
ERR2759461	Netherlands
ERR2524313	Netherlands
ERR5412143	UK
Node_980	UK
ERR5413431	UK
Node_23	UK
Node_37	UK
ERR5411953	UK
Node_43	UK
ERR114993	UK
Node_85	UK
ERR114983	UK
Node_162	UK
ERR5413285	UK
ERR4326524	Germany
Node_167	Germany
ERR7253777	Germany
Node_171	Germany
ERR5412673	UK
SRR6045724	UK
Node_176	UK
ERR484991	UK
ERR5412111	UK
Node_192	UK
SRR7800412	USA
SRR12051708	USA
SRR12051692	USA
SRR7800407	USA
SRR12051648	USA
SRR12051646	USA
SRR26727996	Canada
Node_225	Canada
SRR26727978	Canada
SRR26728092	Canada
SRR12574871	USA
Node_238	USA
Node_385	USA
Node_693	USA
Node_842	UK
Node_856	UK
ERR4326574	Germany
ERR4326575	Germany
ERR2759464	Netherlands
Node_879	Germany
Node_883	Germany
Node_892	Germany
Node_919	Germany
Node_926	Germany
Node_938	Germany
Node_954	Germany
ERR2759460	Netherlands
Node_964	UK
ERR5414072	UK
Node_979	UK
ERR5412809	UK
SRR6388687	UK
Node_36	UK
SRR6388723	UK
ERR114994	UK
ERR115011	UK
Node_51	UK
Node_84	UK
ERR5412846	UK
Node_161	UK
ERR4326525	Germany
ERR4326526	Germany
ERR4326515	Germany
Node_170	Germany
ERR494929	UK
ERR494973	UK
ERR494938	UK
Node_191	UK
SRR26728056	Canada
SRR26728052	Canada
SRR14736615	USA
Node_237	USA
Node_243	USA
Node_384	USA
Node_597	USA
Node_692	USA
Node_820	UK
Node_841	UK
Node_848	UK
Node_855	UK
Node_877	Germany
Node_878	Germany
Node_881	Germany
Node_882	Germany
Node_891	Germany
ERR7253707	Germany
Node_915	UK
Node_918	UK
ERR2759455	Netherlands
Node_925	UK
Node_928	UK
Node_937	Germany
Node_953	UK
ERR494978	Sweden
ERR494845	UK
Node_963	UK
Node_971	UK
Node_978	UK
