node	geo_loc_name_country
Node_103	UK
Node_48	UK
Node_102	UK
Node_6	UK
Node_47	UK
Node_65	UK
Node_101	UK
ERR115000	UK
Node_5	UK
Node_23	UK
Node_46	UK
Node_49	UK
Node_64	UK
Node_83	UK
Node_100	UK
ERR119107	UK
Node_4	UK
Node_9	UK
Node_22	UK
ERR5413014	UK
Node_45	UK
ERR5413595	UK
ERR5414329	UK
Node_52	UK
Node_63	UK
Node_66	UK
Node_82	UK
Node_89	UK
Node_99	UK
Node_1	UK
Node_3	UK
Node_7	UK
Node_8	UK
Node_13	UK
Node_21	UK
Node_26	UK
Node_44	UK
ERR337780	UK
ERR363370	UK
Node_61	UK
Node_62	UK
ERR5412801	UK
ERR5413801	UK
Node_71	UK
Node_81	UK
Node_88	UK
ERR459976	UK
Node_90	UK
Node_98	UK
ERR115004	UK
ERR115005	UK
ERR115046	UK
Node_2	UK
ERR3198401	UK
ERR567868	UK
ERR5412608	UK
ERR5413130	UK
ERR5413039	UK
Node_12	UK
Node_16	Ireland
Node_20	UK
Node_24	UK
Node_25	UK
ERR5412508	UK
Node_43	UK
Node_53	UK
Node_60	UK
ERR330778	UK
ERR363264	UK
ERR494898	UK
Node_70	UK
Node_77	UK
Node_80	UK
Node_84	UK
Node_87	UK
ERR5412822	UK
ERR5412721	UK
Node_96	UK
Node_97	UK
ERR115040	UK
ERR115079	UK
ERR5413211	UK
Node_11	UK
Node_14	Ireland
Node_15	Ireland
Node_17	UK
Node_19	UK
ERR363268	UK
ERR330782	UK
ERR363260	UK
ERR330774	UK
Node_37	UK
Node_42	UK
ERR363241	UK
ERR330755	UK
Node_58	UK
Node_59	UK
ERR494899	UK
Node_69	UK
Node_73	UK
Node_76	UK
ERR494918	UK
Node_79	UK
ERR363356	UK
ERR337766	UK
Node_85	UK
Node_86	UK
Node_94	UK
Node_95	UK
ERR5413727	UK
ERR5412856	UK
ERR5413210	UK
ERR5414207	UK
ERR4020076	Ireland
ERR4020072	Ireland
ERR4020082	Ireland
ERR4020079	Ireland
ERR363266	UK
ERR330780	UK
ERR4020052	Ireland
Node_18	UK
Node_28	UK
Node_36	UK
ERR363271	UK
Node_41	UK
Node_56	UK
Node_57	UK
ERR3198413	UK
ERR567867	UK
ERR5413365	UK
Node_68	UK
ERR5413514	UK
Node_72	UK
ERR5413741	UK
Node_75	UK
ERR5412434	UK
Node_78	UK
ERR5413755	UK
ERR5414276	UK
ERR337813	UK
ERR363403	UK
ERR5412115	UK
Node_93	UK
ERR5413582	UK
ERR5413358	UK
ERR5412484	UK
ERR5413107	UK
ERR5413977	UK
Node_27	UK
Node_35	UK
ERR5413297	UK
ERR330785	UK
Node_40	UK
ERR5412399	UK
Node_55	UK
ERR337744	UK
ERR363334	UK
ERR5414117	UK
Node_67	UK
ERR5414056	UK
ERR5413778	UK
SRR6044902	UK
Node_74	UK
ERR5413747	UK
ERR5413250	UK
ERR5413411	UK
Node_92	UK
SRR6045196	UK
ERR5411990	UK
Node_34	UK
SRR6046653	UK
ERR330784	UK
Node_39	UK
ERR5414373	UK
ERR5414168	UK
ERR5414375	UK
ERR5413740	UK
SRR6388709	UK
SRR6046008	UK
ERR5412015	UK
Node_91	UK
Node_33	UK
SRR6046272	UK
ERR363270	UK
Node_38	UK
ERR5413992	UK
ERR5412908	UK
Node_32	UK
ERR5412519	UK
ERR363269	UK
ERR330783	UK
ERR5412879	UK
Node_31	UK
Node_29	UK
Node_30	UK
ERR5412976	UK
ERR5413573	UK
SRR6045755	UK
ERR5413614	UK
