node	Ireland	UK
Node_103	0.010151052945517852	0.9898489470544822
Node_48	0.0009608248706144816	0.9990391751293856
Node_102	0.00025480275462524016	0.9997451972453747
Node_6	2.0899410542464138e-08	0.9999999791005895
Node_47	0.000631719598034729	0.9993682804019652
Node_65	3.364588719189891e-05	0.9999663541128081
Node_101	2.5004740221848886e-07	0.9999997499525978
ERR115000	0.0	1.0
Node_5	4.45745392567035e-08	0.9999999554254608
Node_23	0.002555926241207246	0.9974440737587926
Node_46	1.7197352552233255e-05	0.9999828026474478
Node_49	5.9899301442799105e-12	0.99999999999401
Node_64	3.3621095853248796e-05	0.9999663789041469
Node_83	2.1224338269591393e-06	0.999997877566173
Node_100	2.385675420163643e-07	0.999999761432458
ERR119107	0.0	1.0
Node_4	3.9088155903204836e-08	0.9999999609118442
Node_9	0.002126234326059094	0.9978737656739408
Node_22	0.030643343019910698	0.9693566569800893
ERR5413014	0.0	1.0
Node_45	1.7143475303259057e-05	0.9999828565246968
ERR5413595	0.0	1.0
ERR5414329	0.0	1.0
Node_52	3.894117026108389e-12	0.9999999999961059
Node_63	2.288810107926441e-06	0.999997711189892
Node_66	5.008491774831736e-12	0.9999999999949915
Node_82	2.088390428900279e-06	0.999997911609571
Node_89	2.682693955110702e-07	0.9999997317306045
Node_99	1.1296492036143585e-06	0.9999988703507964
Node_1	4.789876029740405e-08	0.9999999521012397
Node_3	8.5080556031061e-06	0.9999914919443968
Node_7	4.905679848883689e-12	0.9999999999950943
Node_8	6.244244779895185e-12	0.9999999999937559
Node_13	0.007129847457278831	0.9928701525427212
Node_21	0.030693746299043645	0.9693062537009564
Node_26	1.7223486945955252e-05	0.999982776513054
Node_44	0.00028104603929289713	0.9997189539607072
ERR337780	0.0	1.0
ERR363370	0.0	1.0
Node_61	2.278824866172485e-06	0.9999977211751337
Node_62	2.9025753167980685e-12	0.9999999999970973
ERR5412801	0.0	1.0
ERR5413801	0.0	1.0
Node_71	1.75880876728791e-06	0.9999982411912327
Node_81	1.5547928898636513e-07	0.999999844520711
Node_88	5.3181848763181555e-05	0.9999468181512368
ERR459976	0.0	1.0
Node_90	4.890960583942424e-08	0.9999999510903941
Node_98	1.127248212061039e-06	0.9999988727517879
ERR115004	0.0	1.0
ERR115005	0.0	1.0
ERR115046	0.0	1.0
Node_2	1.089203122401233e-12	0.9999999999989108
ERR3198401	0.0	1.0
ERR567868	0.0	1.0
ERR5412608	0.0	1.0
ERR5413130	0.0	1.0
ERR5413039	0.0	1.0
Node_12	0.00010874881866137445	0.9998912511813387
Node_16	0.9692269960387705	0.030773003961229492
Node_20	0.03069512934713938	0.9693048706528605
Node_24	6.175351121755654e-12	0.9999999999938246
